fault_query,matched_term,entity_id,entity_type,description,related_entity,edge_description,edge_keywords,conditions,source_id,file_path
Congestion / Overload,overload condition,Trace Recording Session,Concept,"A Trace Recording Session is a session during which trace records are collected, and it may experience overload conditions leading to throttling of lower priority trace records.<SEP>The Trace Recording Session is a session during which trace data is recorded, and it can be subject to throttling. The session is terminated or modified when the Trace Recording Session Throttled Stop administrative message is sent.",Trace Recording Session Throttled Stop administrative message,The Trace Recording Session Throttled Stop administrative message shall be used to convey that throttling is cleared for a Trace Recording Session.,Condition,,chunk-804bb57b2db049e28d1a6b8f31df447a,../3GPP-trunked/Rel-19/32_series/32423-j20.md5.2.4.11
Congestion / Overload,overload condition,Trace Recording Session,Concept,"A Trace Recording Session is a session during which trace records are collected, and it may experience overload conditions leading to throttling of lower priority trace records.<SEP>The Trace Recording Session is a session during which trace data is recorded, and it can be subject to throttling. The session is terminated or modified when the Trace Recording Session Throttled Stop administrative message is sent.",Trace Recording Session Throttled Stop administrative message,The Trace Recording Session Throttled Stop administrative message is used to clear throttling for a Trace Recording Session,clear,,chunk-804bb57b2db049e28d1a6b8f31df447a,../3GPP-trunked/Rel-19/32_series/32423-j20.md5.2.4.11
Congestion / Overload,overload condition,Trace Recording Session,Concept,"A Trace Recording Session is a session during which trace records are collected, and it may experience overload conditions leading to throttling of lower priority trace records.<SEP>The Trace Recording Session is a session during which trace data is recorded, and it can be subject to throttling. The session is terminated or modified when the Trace Recording Session Throttled Stop administrative message is sent.",Trace Recording Session Reference,A unique ID within a Trace Session shall be generated for each Trace Recording Session. This is called the Trace Recording Session Reference.,Condition,,chunk-03a9521bdd80e786b871cc92b0b5b780,../3GPP-trunked/Rel-19/32_series/32421-j20.md5.2
Congestion / Overload,overload condition,Trace Recording Session Throttled Start administrative message,Concept,"The Trace Recording Session Throttled Start administrative message is used to indicate that lower priority trace records are missing, potentially due to an overload condition in a Trace Recording Session. It may have a zero-size payload or specify the types of missing contents. The traceRecordTypeId field in the Trace Record Header is set to ""TRACE_RECORDING_SESSION_THROTTLED_START"".",DEF,The Trace Recording Session Throttled Start administrative message shall be used to convey that the lower priority trace records are missing. A possible reason is due to overload condition for a Trace Recording Session. The Trace Record in this case may have zero-size payload or include which kind of contents are missing. The value of the traceRecordTypeId field,Definition,,chunk-454503833905e64fed2725d12258be74,../3GPP-trunked/Rel-19/32_series/32423-j20.md5.2.4.10
Congestion / Overload,overload condition,Trace Recording Session Throttled Start administrative message,Concept,"The Trace Recording Session Throttled Start administrative message is used to indicate that lower priority trace records are missing, potentially due to an overload condition in a Trace Recording Session. It may have a zero-size payload or specify the types of missing contents. The traceRecordTypeId field in the Trace Record Header is set to ""TRACE_RECORDING_SESSION_THROTTLED_START"".",REF,5.2.4.10,Reference,,chunk-454503833905e64fed2725d12258be74,../3GPP-trunked/Rel-19/32_series/32423-j20.md5.2.4.10
Congestion / Overload,,overload condition,Challenge,"An overload condition is a situation in a Trace Recording Session that may cause lower priority trace records to be missing, leading to the use of the Trace Recording Session Throttled Start administrative message.",,,,,chunk-454503833905e64fed2725d12258be74,../3GPP-trunked/Rel-19/32_series/32423-j20.md5.2.4.10
Congestion / Overload,,lower priority trace records,Concept,"Lower priority trace records are trace records that may be omitted or not captured during a Trace Recording Session due to system overload, and their absence is signaled by the Trace Recording Session Throttled Start administrative message.",,,,,chunk-454503833905e64fed2725d12258be74,../3GPP-trunked/Rel-19/32_series/32423-j20.md5.2.4.10
Congestion / Overload,system overload,filter based overload control,Concept<SEP>UNKNOWN,Filter based overload control is a mechanism described in section 5.22.2 that manages system overload by filtering incoming requests or signals. It is designed to prevent system overload by selectively processing or rejecting traffic based on predefined criteria.<SEP>Filter based overload control uses a mechanism to manage system overload by filtering incoming requests or signals,DEF,"The filter based overload control mechanism is implemented to manage system overload by filtering incoming requests or signals, as depicted in the figure in section 5.22.2.",Definition,,chunk-98aa1f63e68228b71b1e60232a4ef8a2,../3GPP-trunked/Rel-19/23_series/23228-j20.md1
Congestion / Overload,system overload,filter based overload control,Concept<SEP>UNKNOWN,Filter based overload control is a mechanism described in section 5.22.2 that manages system overload by filtering incoming requests or signals. It is designed to prevent system overload by selectively processing or rejecting traffic based on predefined criteria.<SEP>Filter based overload control uses a mechanism to manage system overload by filtering incoming requests or signals,REF,5.22.2,Reference,,chunk-98aa1f63e68228b71b1e60232a4ef8a2,../3GPP-trunked/Rel-19/23_series/23228-j20.md1
Congestion / Overload,system overload,filter based overload control,Concept<SEP>UNKNOWN,Filter based overload control is a mechanism described in section 5.22.2 that manages system overload by filtering incoming requests or signals. It is designed to prevent system overload by selectively processing or rejecting traffic based on predefined criteria.<SEP>Filter based overload control uses a mechanism to manage system overload by filtering incoming requests or signals,information flow,The filter based overload control mechanism is illustrated through an example information flow in the figure associated with section 5.22.2)##,depict,,chunk-98aa1f63e68228b71b1e60232a4ef8a2,../3GPP-trunked/Rel-19/23_series/23228-j20.md1
Congestion / Overload,system overload,filter based overload control,Concept<SEP>UNKNOWN,Filter based overload control is a mechanism described in section 5.22.2 that manages system overload by filtering incoming requests or signals. It is designed to prevent system overload by selectively processing or rejecting traffic based on predefined criteria.<SEP>Filter based overload control uses a mechanism to manage system overload by filtering incoming requests or signals,mechanism,Filter based overload control uses a mechanism to manage system overload by filtering incoming requests or signals,use,"[""filter based overload control)##""]",chunk-98aa1f63e68228b71b1e60232a4ef8a2,../3GPP-trunked/Rel-19/23_series/23228-j20.md1
Congestion / Overload,system overload,mechanism,Concept,Mechanism refers to the operational method or process used in the filter based overload control to manage system overload by applying filters to incoming traffic.,filter based overload control,Filter based overload control uses a mechanism to manage system overload by filtering incoming requests or signals,use,"[""filter based overload control)##""]",chunk-98aa1f63e68228b71b1e60232a4ef8a2,../3GPP-trunked/Rel-19/23_series/23228-j20.md1
Congestion / Overload,system overload,mechanism,Concept,Mechanism refers to the operational method or process used in the filter based overload control to manage system overload by applying filters to incoming traffic.,Implicit registration,Implicit registration is a specific instance of the mechanism that enables simultaneous registration of multiple Public User Identities,is a type of,,chunk-87e1b97aac3ce56e33e9600e45bd3bc0,../3GPP-trunked/Rel-19/29_series/29228-j10.md6.5
Congestion / Overload,,overload event notification,Concept,Overload event notification is a mechanism used by AS/S-CSCF to subscribe to and receive status updates regarding the overload conditions of AS-1,,,,,chunk-b66c0fdd0b985168e16d12e98d88ff21,../3GPP-trunked/Rel-19/23_series/23228-j20.md3
Congestion / Overload,,system overload,Terminology,,,,,,chunk-caa882272eb23e1e674186ab0fead4ac,../3GPP-trunked/Rel-19/32_series/32401-j00.md5.4.3
Congestion / Overload,,DNN based congestion control,Concept,DNN based congestion control is a type of congestion control applied at the session management level to reject session management requests from User Equipment (UEs) or release PDU sessions when the associated,,,,,chunk-7f19af8fba98546b9e8c4bfa65440b68,../3GPP-trunked/Rel-19/24_series/24501-j20.md3.1
Congestion / Overload,,S-NSSAI based congestion control,Concept,Type of congestion control at session management level that is applied to reject session management requests from UEs or release PDU sessions when the associated S-NSSAI and optionally the associated DNN are congested. It can be activated at the SMF over session management level and also activated at the AMF over mobility management level.,,,,,chunk-d3985caebdfbdc7c3369d156e809eeb6,../3GPP-trunked/Rel-19/24_series/24501-j20.md3.1
Congestion / Overload,,service information,Concept,"Service information refers to data sent by the Application Function (AF) to the Policy and Charging Rules Function (PCRF) for policy and charging control purposes, and is subject to temporary rejection due to network congestion, prompting a retry after the Retry-Interval AVP duration.",,,,,chunk-2dbadc94f0636283f63d8b906c0fd444,../3GPP-trunked/Rel-19/29_series/29214-j00.md5.3.39
Congestion / Overload,,Session Management Congestion Control Experience Analytics,Concept,"Session Management Congestion Control Experience Analytics is a type of analytics calculated by the NWDAF based on information collected from the SMF. It is used to assess congestion control experiences in session management and can be obtained via Nnwdaf_AnalyticsInfo_Request or Nnwdaf_EventsSubscription_Subscribe service operations with the event ""SM_CONGESTION"" and feature ""SMCCE"".",,,,,chunk-d5d74635699f3cce91ff69b8368341a5,../3GPP-trunked/Rel-19/29_series/29552-j20.md5.7.14
Congestion / Overload,,DL media stream,Signal,"DL media stream is the downlink media data transmitted from the MCVideo server to the MCVideo UE, which carries ECN marking in the IP header to reflect the current network congestion status.",,,,,chunk-3504f8ae4dcbbe248a1ad6e07c21628c,../3GPP-trunked/Rel-19/23_series/23289-j50.md7.7.3.1
Congestion / Overload,,UL media stream,Signal,"UL media stream is the uplink data flow from the MCVideo client to the MCVideo server, which carries media packets and includes ECN marking in the IP header to reflect network congestion status.",,,,,chunk-4eb59dea0097e0c021683cde5fe8ed5f,../3GPP-trunked/Rel-19/23_series/23289-j50.md7.7.3.2
Congestion / Overload,,Session Management Congestion Control Experience,Terminology,,,,,,chunk-066c308ba0343449c2757003f84f1fc4,../3GPP-trunked/Rel-19/23_series/23503-j30.md6.1.1.3
Congestion / Overload,,Policy decisions based on network analytics,Concept,"Policy decisions based on network analytics is a functionality that enables the PCF to make policy decisions by leveraging analytics information associated with specific Analytics IDs defined in TS 23.288 [24]. The analytics information can be sourced directly from NWDAF or via DCCF, depending on deployment. The PCF uses local configuration to determine whether to retrieve Analytics IDs directly from NWDAF or through DCCF. The PCF performs discovery and selection of NWDAF and DCCF as per TS 23.501 [2] and subscribes/unsubscribes to analytics data as defined in TS 23.288 [24]. The AMF and/or SMF may include a list of NWDAF instance IDs and associated Analytics IDs in AM/SM Policy Association procedures. The PCF may use these provided instances for subscription or perform its own NWDAF discovery if needed. The relevant Analytics IDs include: ""Load level information"", ""Service Experience"", ""Network Performance"", ""Abnormal behaviour"", ""UE Mobility"", ""UE Communication"", ""User Data Congestion"", ""Data Dispersion"", ""Session Management Congestion Control Experience",,,,,chunk-57543a4a83ea4310d62a27eba579f11e,../3GPP-trunked/Rel-19/23_series/23503-j30.md6.1.1.3
Congestion / Overload,,ECN marking for L4S,Concept,ECN marking for L4S is a congestion control mechanism used in L4S traffic to signal network congestion. The SMF notifies the PCF when this marking can no longer or can again be performed.,,,,,chunk-3615e8475af1d4932dc249dd648c6eaf,../3GPP-trunked/Rel-19/23_series/23503-j30.md6.1.3.5
Resource Allocation Failure,resource allocation,first come first served mode,Concept,"First come first served mode is a resource allocation strategy used in the Fully pooled radio resources between two POPs use case, where UEs from POP A and POP B are served in the order of their arrival on the S-RAN.",S-RAN,The S-RAN supports the first come first served mode for UE service allocation,support,"[""Fully pooled radio resources between two POPs""]",chunk-3e55e30e677e3f7612b93056fd9d6fd4,../3GPP-trunked/Rel-19/32_series/32130-j00.md5.4.1
Resource Allocation Failure,resource allocation,first come first served mode,Concept,"First come first served mode is a resource allocation strategy used in the Fully pooled radio resources between two POPs use case, where UEs from POP A and POP B are served in the order of their arrival on the S-RAN.",Fully pooled radio resources between two POPs,The use case utilizes the first come first served mode for serving UEs from POP A and POP B in the S-RAN,utilize,,chunk-3e55e30e677e3f7612b93056fd9d6fd4,../3GPP-trunked/Rel-19/32_series/32130-j00.md5.4.1
Resource Allocation Failure,,BEARER RESOURCE ALLOCATION REQUEST,Concept,BEARER RESOURCE ALLOCATION REQUEST is a message used in EPS Session Management to request allocation of radio,,,,,chunk-3823fbe97d94ca28a02c8a70e802c874,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.12
Resource Allocation Failure,,network energy saving and efficiency,Concept,"Network energy saving and efficiency refers to the optimization of power consumption in the 5G network infrastructure through architectural and operational improvements, including dynamic resource allocation and intelligent power management.",,,,,chunk-26f4c7b07c8146fd1cd5e0f3512f89d9,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.15.1
Resource Allocation Failure,,Shared NG-RAN NE(s),Technology,Shared NG-RAN NE(s) are Next Generation Radio Access Network Network Elements that are shared among multiple operators in a Multi-Operator Core Network (MOCN) scenario. These network elements are managed through defined workflows to ensure coordinated operation and resource allocation.,,,,,chunk-806e528c34a886033b335f8cf134f8d4,../3GPP-trunked/Rel-19/32_series/32130-j00.md7
Resource Allocation Failure,resource allocation,Diameter Credit-Control messages,Technology,Diameter Credit-Control messages are signaling messages used in the context of Location-Based Services (LCS) for real-time charging control and resource allocation.,REF,LCS,Reference,,chunk-2d1f31133b263da8d6ebc699c697cc55,../3GPP-trunked/Rel-19/32_series/32271-j10.md6.0
Resource Allocation Failure,resource allocation,Network plan,Concept,"A network plan is a structured approach to designing or modifying a network, which may include configurations, resource allocations, and traffic management strategies.",Network configuration evaluation,"Network configuration evaluation is performed after the implementation of a network plan or changes to a network plan to assess its effectiveness.)##
(",evaluate,,chunk-9bf32b9b405b256881b74f45ec3a8df5,../3GPP-trunked/Rel-19/32_series/32401-j00.md4.1.2
Resource Allocation Failure,resource allocation,Network plan,Concept,"A network plan is a structured approach to designing or modifying a network, which may include configurations, resource allocations, and traffic management strategies.",Network configuration evaluation,Network configuration evaluation is performed after the implementation of a network plan,evaluate,,chunk-9bf32b9b405b256881b74f45ec3a8df5,../3GPP-trunked/Rel-19/32_series/32401-j00.md4.1.2
Resource Allocation Failure,resource allocation,Network plan,Concept,"A network plan is a structured approach to designing or modifying a network, which may include configurations, resource allocations, and traffic management strategies.",Implementation,"Network configuration evaluation is performed after the implementation of a network plan or changes, indicating that it depends on the completion of implementation",Condition,,chunk-9bf32b9b405b256881b74f45ec3a8df5,../3GPP-trunked/Rel-19/32_series/32401-j00.md4.1.2
Resource Allocation Failure,resource allocation,administrative conditions,Concept,"Administrative conditions are organizational or procedural factors that influence the availability performance of a system, such as policies, management practices, and resource allocation procedures.",availability performance,Availability performance is influenced by administrative conditions,influenced by,,chunk-39044b0bd3656293198dbe1aaf1591e5,../3GPP-trunked/Rel-19/32_series/32401-j00.md4.1.5
Resource Allocation Failure,resource allocation,Table 6.1.6.2.1.18-1,UNKNOWN,"AllocatedUnit is a type defined in Table 6.1.6.2.1.18-1 that represents a unit of resource allocation with attributes including quotaManagementIndicator, triggers, triggerTimestamp, and localSequenceNumber. It is used in the context of reporting charging events and is applicable in scenarios involving quota management control.",AllocatedUnit,"AllocatedUnit is a type defined in Table 6.1.6.2.1.18-1 that represents a unit of resource allocation with attributes including quotaManagementIndicator, triggers, triggerTimestamp, and localSequenceNumber. It is used in the context of reporting charging events and is applicable in scenarios involving quota management control.",Condition,,chunk-59a4800e92044e5cb29dda3d8e978fec,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.2.1.18
Resource Allocation Failure,,NSACF,Technology,"NSACF (Network Slice Admission Control Function) is a functional entity responsible for managing admission control and resource allocation for network slices, particularly in relation to NSAC (Network Slice Admission Control) thresholds and quotas.",,,,,chunk-4ecd8f7546e3398067d11a2cb867d254,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.3.6
Resource Allocation Failure,,event,Concept,"An event is a defined occurrence in a system that is subject to measurement, such as a resource allocation procedure, and must be consistently identified across related measurements.",,,,,chunk-bbc9157e5fcf67b4549c5e6c10be6c54,../3GPP-trunked/Rel-19/32_series/32401-j00.md4.3.2
Resource Allocation Failure,,resource allocation procedure,Concept,A resource allocation procedure is a system process,,,,,chunk-bbc9157e5fcf67b4549c5e6c10be6c54,../3GPP-trunked/Rel-19/32_series/32401-j00.md4.3.2
Resource Allocation Failure,resource allocation,MCData emergency group communication,Application,"MCData emergency group communication is a type of communication session that is initiated under emergency conditions and can be canceled by a designated requester, subject to authorization by the MCData client based on local policy.<SEP>MCData emergency group communication is a type of group communication initiated by an MCData user that requires authorization based on specific conditions in the MCData user profile document, including the <allow-emergency-group-call> element and the <entry-info> attribute value of ""DedicatedGroup"" or ""UseCurrentlySelectedGroup"".<SEP>MCData emergency group communication is a type of communication that requires high-priority resource allocation and is governed by the Resource-Priority header field as specified in IETF RFC 8101 [67].",emergency group state cancel request,"The emergency group state cancel request is sent by the MCData client after determining authorization based on local policy, such as whether the requester is a dispatcher or initiator of the MCData emergency group communication",Condition,,chunk-a67cfd366966f5aa141321f665091e6b,../3GPP-trunked/Rel-19/24_series/24282-j20.md6.2.8.1.7
Resource Allocation Failure,,Resource-Priority header field,Concept,"The Resource-Priority header field is used in MCData imminent peril group communications and must be included in SIP INVITE or SIP REFER requests under specific conditions. It is populated with values for imminent peril group communication as specified in clause 6.2.8.1.15 when the MCData imminent peril group communication state is ""MDIGC 2: imminent-peril-call-requested"" or ""MDIGC 3: imminent-peril-call-granted"", and the user is authorized per clause 6.2.8.1.8. It is also used for normal MCData group communication when the state is ""MDIGC 1: imminent-peril-gc-capable"" and cancellation is authorized per clause 6.2.8.1.10, with values specified in clause 6.<SEP>The Resource-Priority header field is a component used in MCData communications to specify the priority level and namespace for resource allocation, as defined in IETF RFC 8101 [67]. It applies to emergency group communications, emergency private (one-to-one) communications, imminent peril group communications, and normal group or private communications.",,,,,chunk-3b8234dd497ebded40eeabed7704301e<SEP>chunk-c268636071deda5fa490b9f3535658e2,../3GPP-trunked/Rel-19/24_series/24282-j20.md6.2.8.1.12<SEP>../3GPP-trunked/Rel-19/24_series/24282-j20.md6.2.8.1.15
Resource Allocation Failure,,MCData emergency private communication,Application,"MCData emergency private communication is a one-to-one communication requiring high-priority resource allocation, governed by the Resource-Priority header field as specified in IETF RFC 8101 [67].",,,,,chunk-c268636071deda5fa490b9f3535658e2,../3GPP-trunked/Rel-19/24_series/24282-j20.md6.2.8.1.15
Resource Allocation Failure,,QoS functionality,Technology,"QoS functionality is a feature of the 3GPP network that enables quality of service management for data transmission, used by MCData for resource allocation.",,,,,chunk-c5a8107294c6c2058397b2378aff61ca,../3GPP-trunked/Rel-19/24_series/24282-j20.md4.13
Resource Allocation Failure,,PMS,Technology,"PMS refers to Port Management Service, a function responsible for managing network ports within the 5G System to ensure proper connectivity and resource allocation.",,,,,chunk-8f6613b5fa22059006e626a76717bb82,../3GPP-trunked/Rel-19/24_series/24539-j20.md3.2
Resource Allocation Failure,resource allocation,QoS requirements for general purposes,Concept,"QoS requirements for general purposes is a set of criteria that govern the selection, deployment, initiation, and termination of QoS signalling and resource allocation for MBS, considering QoS mechanisms described in 3GPP TS 23.501 [7], 3GPP TS 23.502 [10], 3GPP TS 23.503 [9], and 3GPP TS 23.247 [15]. It supports MC system and MC service UE sharing one DNN using multiple QoS flows for MC services, application plane, and signalling plane. It mandates the use of standardized 5QI values 69 for SIP-1 reference point signalling and 8 for HTTP-1 reference point signalling, and allows either standardized or non-standardized 5QI values for MC services. When IMS services are used, at least one QoS flow must be associated for IMS signalling, with generic mechanisms for QoS and session signalling interaction in 5GS context.",REF,3GPP TS 23.501 [7]<SEP>3GPP TS 23.502 [1,Reference,,chunk-98bc266d934161cbc6611dba73286146,../3GPP-trunked/Rel-19/23_series/23289-j50.md4.3.2
Resource Allocation Failure,resource allocation,5G-enabled traffic,Concept,"5G-enabled traffic refers to traffic systems that leverage 5G technology for enhanced connectivity, real-time data exchange, and support for advanced applications such as spatial mapping and dynamic resource allocation.",Solution #18,Solution #18 is designed to support discovery and requirements translation specifically for 5G-enabled traffic systems.,support,,chunk-ac1b34b85e7638e52ed1ccacebb8cdba,../3GPP-trunked/Rel-19/23_series/23700-21-j10.md7.18
Resource Allocation Failure,resource allocation,5G-enabled traffic,Concept,"5G-enabled traffic refers to traffic systems that leverage 5G technology for enhanced connectivity, real-time data exchange, and support for advanced applications such as spatial mapping and dynamic resource allocation.",Solution #18,Solution #18 is designed to support discovery and requirements translation for 5G-enabled traffic systems,support,,chunk-ac1b34b85e7638e52ed1ccacebb8cdba,../3GPP-trunked/Rel-19/23_series/23700-21-j10.md7.18
Resource Allocation Failure,resource allocation,5G-enabled traffic,Concept,"5G-enabled traffic refers to traffic systems that leverage 5G technology for enhanced connectivity, real-time data exchange, and support for advanced applications such as spatial mapping and dynamic resource allocation.",spatial maps,5G-enabled traffic systems require the maintenance of spatial maps for effective operation and real-time decision-making,require,"[""Solution #18)##""]",chunk-ac1b34b85e7638e52ed1ccacebb8cdba,../3GPP-trunked/Rel-19/23_series/23700-21-j10.md7.18
Resource Allocation Failure,resource allocation,5G-enabled traffic,Concept,"5G-enabled traffic refers to traffic systems that leverage 5G technology for enhanced connectivity, real-time data exchange, and support for advanced applications such as spatial mapping and dynamic resource allocation.",providers,Solution #18 enables providers to maintain spatial maps by facilitating discovery and requirements translation for 5G-enabled traffic systems,Condition,,chunk-ac1b34b85e7638e52ed1ccacebb8cdba,../3GPP-trunked/Rel-19/23_series/23700-21-j10.md7.18
Resource Allocation Failure,,resource allocation per PLMN ID,Terminology,,,,,,chunk-71fcc2decbf81ac365ef6297305fd0cf,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.35.4
Resource Allocation Failure,,energy related Alternative QoS Profile,Concept,"An energy related Alternative QoS Profile is an alternative quality of service profile provided by the network to users of UEs accessing green NG-RANs. It enables the network to manage resource allocation under energy constraints, allowing users to opt into lower data rate services in favor of environmental sustainability.",,,,,chunk-edae5efb7329400d66fabb5b2d1008b1,../3GPP-trunked/Rel-19/23_series/23700-66-j00.md6.28.2.1
Resource Allocation Failure,,INDICATION_OF_SUCCESSFUL_RESOURCES_ALLOCATION,Concept,"INDICATION_OF_SUCCESSFUL_RESOURCES_ALLOCATION is a value used within a RAR (Resource Adaptation Response) to indicate that resources requested for a particular service information have been successfully allocated. The SDFs corresponding to the successfully allocated resources are provided in the Flows AVP, and the content version is included in the Content-Version AVP as it was when the media component was provisioned. This value is used by the PCRF to notify the AF of successful resource allocation. It applies to functionality introduced in Rel8 as described in clause 5.4.1. Subscription to this value impacts resource allocation signaling overhead toward the PCEF/BBERF.",,,,,chunk-2dd41676666783233448694e99b7ce97,../3GPP-trunked/Rel-19/29_series/29214-j00.md5.3.13
Resource Allocation Failure,,INDICATION_OF_FAILED_RESOURCES_ALLOCATION,Concept,"INDICATION_OF_FAILED_RESOURCES_ALLOCATION is a value used within a RAR to indicate that resources requested for a particular service information could not be successfully allocated. The SDFs corresponding to the unallocated resources are provided in the Flows AVP. In case of session modification failure, the status of the related service information may be reported in the Media-Component-Status AVP within the Flows AVP. The content version<SEP>INDICATION_OF_FAILED_RESOURCES_ALLOCATION is a value of the Specific-Action AVP with code 9, used to signal that resource allocation has failed, leading to the default assumption that related PCC/QoS rules are inactive.",,,,,chunk-2dd41676666783233448694e99b7ce97<SEP>chunk-9df8ede5b4cb86b5dfda23f1d74df3f3,../3GPP-trunked/Rel-19/29_series/29214-j00.md5.3.13<SEP>../3GPP-trunked/Rel-19/29_series/29214-j00.md5.3.48
Resource Allocation Failure,,Pre-emption-Capability AVP,Technology,"Pre-emption-Capability AVP is a control attribute included within the Media-Component-Description AVP by the Application Function (AF) to indicate the suggested pre-emption capability value for a media flow, which helps the PCRF determine ARP values during resource allocation.",,,,,chunk-b3eb702b8e0f30ae676fe984743cb454,../3GPP-trunked/Rel-19/29_series/29214-j00.md4.4.8
