telecomts_fault,candidate_entity,candidate_type,candidate_description,candidate_source_id,candidate_file_path,related_entity,related_type,related_description,edge_description,edge_keywords,edge_conditions,edge_source_id,edge_file_path,edge_weight,relevance_score
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,test port A,UNKNOWN,,Transmitter characteristics are specified at test port A under normal operating conditions with full complement of transceivers,specify_at,"[""normal operating conditions""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0,7
Antenna Failure,RF repeater type 1-C,Technology,"RF repeater type 1-C is a repeater operating at FR1 with a requirement set consisting only of conducted requirements defined at individual antenna connectors.<SEP>RF repeater type 1-C is a specific type of repeater used in downlink configurations, associated with the definition of downlink repeater classes including Wide Area, Medium Range, and Local Area repeaters.<SEP>RF repeater type 1-C is a specific type of repeater used in uplink and downlink configurations, and it is associated with uplink and downlink repeater classes as defined in the specification.",chunk-1ea94a35ecb3242db3ad99e82d5a4994<SEP>chunk-b8966f841bc5837b85972e0186e32b85<SEP>chunk-715b83bdca3971efd19eef0299f2df4c,../3GPP-trunked/Rel-19/38_series/38106-j00.mdNone<SEP>../3GPP-trunked/Rel-19/38_series/38106-j00.md4.3.1<SEP>../3GPP-trunked/Rel-19/38_series/38106-j00.md4.3.2,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.",RF repeater type 1-C has conducted requirements only and requires compliance to the present document for conformance.,Definition,"[""TS 38.106""]",chunk-71896e9730b13273dbd75e5ac0504db0,../3GPP-trunked/Rel-19/38_series/38115-1-j00.mdNone,1.0,7
Antenna Failure,NCR type 1-C,Concept,"NCR type 1-C is a network-controlled repeater configuration where NCR-Fwd RF requirements are applied at the NCR antenna connector (BS-side or UE-side) for downlink or uplink, and NCR-MT RF requirements are applied at the NCR antenna connector (BS-side) under normal operating conditions.",chunk-48934997f05549837556d4f7ec35e078,../3GPP-trunked/Rel-19/38_series/38106-j00.md4.2.1,repeater antenna connector,Terminology,,Requirements for NCR type 1-C are applied at the repeater antenna connector for downlink or uplink under normal operating conditions,apply,"[""normal operating conditions""]",chunk-d18326f6448eede6a7e5b62bece2a11f,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.5.1,1.0,7
Antenna Failure,SAN type 1-H,Technology,"SAN type 1-H is a system configuration defined with two points of reference: radiated and conducted requirements. It involves the Radiated Interface Boundary (RIB) for over-the-air (OTA) characteristics and the transceiver array boundary for conducted characteristics. The system includes a satellite payload composed of a transceiver unit array and a composite antenna array, with specific implementation-dependent configurations.<SEP>SAN type 1-H is a specific type of Satellite Access Node, categorized under the broader SAN types and subject to the same deployment scenarios as other SAN types.<SEP>SAN type 1-H is a configuration for which conducted transmitter characteristics are specified at the TAB connector with a full complement of transceiver units under normal operating conditions.<SEP>SAN type 1-H is a type of equipment or system with a minimum requirement defined in section 6.2.2, where the maximum carrier output power Pmax,c,TABC must remain within ±2 dB of the rated carrier output power Prated,c,TABC for each TAB connector as declared by the manufacturer under normal conditions.<SEP>SAN type 1-H is a type of satellite access network (SAN) for which output power requirements are defined at the TAB connector. Its rated carrier output power must comply with the values specified in Table 6.2.1-2 and is categorized by SAN class.<SEP>SAN type 1-H is a type of satellite access node defined in section 6.3.2.2 with a minimum requirement for RE power control dynamic range as specified in Table 6.3.2.2-1.<SEP>SAN type 1-H is a specific type of SAN that supports transmission in the operating band and is subject to the SAN total power dynamic range requirement at each TAB connector.",chunk-fad5a5aeffccd7a9261c3566c1692738<SEP>chunk-8bbb8adf31ebb53a4ad9291bbbafa004<SEP>chunk-58af631c94515826e31371838a0a425a<SEP>chunk-9e8f43190acce591171bdda209041182<SEP>chunk-48a8e1dda8b180b711fb9ed2f83671ec<SEP>chunk-fd9a989e24b03c31ae1eb8f30445c635<SEP>chunk-b6fc8dbed0bda64469592ac933b280ae,../3GPP-trunked/Rel-19/38_series/38108-j00.md4.3.1<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md4.4<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.1<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.2.2<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.2.1<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.2.2<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.3.1,TAB connector,Terminology,,SAN type 1-H is connected to the TAB connector where conducted transmitter characteristics are specified,connect to,"[""normal operating condition)##""]",chunk-8bbb8adf31ebb53a4ad9291bbbafa004,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.1,1.0,7
Antenna Failure,SAN type 1-H,Technology,"SAN type 1-H is a system configuration defined with two points of reference: radiated and conducted requirements. It involves the Radiated Interface Boundary (RIB) for over-the-air (OTA) characteristics and the transceiver array boundary for conducted characteristics. The system includes a satellite payload composed of a transceiver unit array and a composite antenna array, with specific implementation-dependent configurations.<SEP>SAN type 1-H is a specific type of Satellite Access Node, categorized under the broader SAN types and subject to the same deployment scenarios as other SAN types.<SEP>SAN type 1-H is a configuration for which conducted transmitter characteristics are specified at the TAB connector with a full complement of transceiver units under normal operating conditions.<SEP>SAN type 1-H is a type of equipment or system with a minimum requirement defined in section 6.2.2, where the maximum carrier output power Pmax,c,TABC must remain within ±2 dB of the rated carrier output power Prated,c,TABC for each TAB connector as declared by the manufacturer under normal conditions.<SEP>SAN type 1-H is a type of satellite access network (SAN) for which output power requirements are defined at the TAB connector. Its rated carrier output power must comply with the values specified in Table 6.2.1-2 and is categorized by SAN class.<SEP>SAN type 1-H is a type of satellite access node defined in section 6.3.2.2 with a minimum requirement for RE power control dynamic range as specified in Table 6.3.2.2-1.<SEP>SAN type 1-H is a specific type of SAN that supports transmission in the operating band and is subject to the SAN total power dynamic range requirement at each TAB connector.",chunk-fad5a5aeffccd7a9261c3566c1692738<SEP>chunk-8bbb8adf31ebb53a4ad9291bbbafa004<SEP>chunk-58af631c94515826e31371838a0a425a<SEP>chunk-9e8f43190acce591171bdda209041182<SEP>chunk-48a8e1dda8b180b711fb9ed2f83671ec<SEP>chunk-fd9a989e24b03c31ae1eb8f30445c635<SEP>chunk-b6fc8dbed0bda64469592ac933b280ae,../3GPP-trunked/Rel-19/38_series/38108-j00.md4.3.1<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md4.4<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.1<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.2.2<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.2.1<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.2.2<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.3.1,transceiver units,Technology,Transceiver units are formed by combining transmitter units and receiver units. They have the ability to transmit and receive parallel independent modulated symbol streams and are part of the transceiver unit array.,SAN type 1-H includes a full complement of transceiver units as part of its configuration,include,"[""normal operating condition""]",chunk-8bbb8adf31ebb53a4ad9291bbbafa004,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.1,1.0,7
Buffer Overflow,Trace Records,Concept,Trace Records are used to carry captured trace data being reported or to convey administrative messages associated with data collection. They are part of the trace data reporting process and may be encoded using XML (binary form) or GPB (Google Protocol Buffers).<SEP>Trace Records are individual data units carried in the payload of transport protocol messages under the Streaming Trace Format. Each record is associated with a length delimiter and is transmitted from the MnS Producer to the MnS Consumer. The format of these records is specified in clause 5.2.,chunk-354870eba2e9af8d6ab6be73865433fb<SEP>chunk-445e5c489cf11c9fdff67bf6ec1ecb99,../3GPP-trunked/Rel-19/32_series/32423-j20.md5.1<SEP>../3GPP-trunked/Rel-19/32_series/32423-j20.md5.2.6,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,clause 5.2,Reference,,chunk-445e5c489cf11c9fdff67bf6ec1ecb99,../3GPP-trunked/Rel-19/32_series/32423-j20.md5.2.6,1.0,5
Buffer Overflow,Integrity protection and verification,Concept,"Integrity protection and verification is a security procedure defined in subclause 4.4.3.3 that ensures the authenticity and integrity of NAS messages. The sender uses the locally stored NAS COUNT as input to the integrity protection algorithm, while the receiver uses the NAS sequence number from the received message and an estimated NAS overflow counter to form the NAS COUNT input for verification. The algorithm is specified in 3GPP TS 33.501 [24].",chunk-728e27595f36b4b4291b79a1843b7f25,../3GPP-trunked/Rel-19/24_series/24501-j20.md4.4.3.3,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,3GPP TS 33.501 [24],Reference,,chunk-728e27595f36b4b4291b79a1843b7f25,../3GPP-trunked/Rel-19/24_series/24501-j20.md4.4.3.3,1.0,4
Co-Channel Interference,interference,Terminology,,chunk-de5e3d9660b0de6a395448c4128f72c0,../3GPP-trunked/Rel-19/28_series/28550-j00.md4.2,Power control,Technology,Power control is a technique used to limit interference in the system.,Power control is used to limit interference in the system,limit,"[""output power dynamics requirements)##""]",chunk-a77d8cb6646eb41433ce1d5a725157c5,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.1,1.0,7
Co-Channel Interference,output power dynamics requirements,Concept<SEP>UNKNOWN,Output power dynamics requirements are the specifications outlined in clause 6.3.1 that define the behavior of power output in the system.<SEP>Power control is used to limit interference in the system,chunk-a77d8cb6646eb41433ce1d5a725157c5,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.1,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.",Output power dynamics requirements are the specifications that must be met to maintain transmitted signal quality as defined in clause 6.5.,Definition,"[""Transmitted signal quality""]",chunk-a77d8cb6646eb41433ce1d5a725157c5,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.1,1.0,7
Co-Channel Interference,Power control,Technology,Power control is a technique used to limit interference in the system.,chunk-a77d8cb6646eb41433ce1d5a725157c5,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.1,interference,Terminology,,Power control is used to limit interference in the system,limit,"[""output power dynamics requirements)##""]",chunk-a77d8cb6646eb41433ce1d5a725157c5,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.1,1.0,7
Co-Channel Interference,Io,Signal,"Io is a parameter assumed to have constant EPRE (Energy Per Resource Element) across the bandwidth in the context of NR (New Radio) operating band groups in FR1, as specified in clause 3.5.2.<SEP>Io is the interference power assumed to have constant EPRE across the bandwidth, as specified in Note 1. It is used in the context of NR operating band groups in FR1 and is referenced in multiple tables for minimum and maximum values under different conditions.<SEP>Io is the interference power observed at the reference point, assumed to have constant EPRE across the bandwidth, and is used in the calculation of SSB Ês/Iot.",chunk-676c141a34619f86909d67df3639acf4<SEP>chunk-3456c84ce2a85b545ce9016ea54578e5<SEP>chunk-a9edaafaf7fcc1eef310d0151958ad69,../3GPP-trunked/Rel-19/38_series/38133-j00_s10-11.md10.1.2.3.1<SEP>../3GPP-trunked/Rel-19/38_series/38133-j00_s10-11.md10.1.2.3.2<SEP>../3GPP-trunked/Rel-19/38_series/38133-j00_s10-11.md10.1.3.1.2,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.",Io is assumed to have constant EPRE across the bandwidth,Definition,"[""clause 3.5.2""]",chunk-a9edaafaf7fcc1eef310d0151958ad69,../3GPP-trunked/Rel-19/38_series/38133-j00_s10-11.md10.1.2.3.1,1.0,7
Co-Channel Interference,Zero Forcing,Concept,Zero Forcing is a signal processing technique used in communication systems to eliminate interference by forcing the interference terms to zero. It is applied under general conducted test conditions as specified in section 4.,chunk-975016ea68906db80d527f6e3f8ef466,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.",Zero Forcing is a signal processing technique used in communication systems to eliminate interference by forcing the interference terms to zero. It is applied under general conducted test conditions as specified in section 4.,Definition,"[""General conducted test conditions""]",chunk-975016ea68906db80d527f6e3f8ef466,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4,1.0,7
Co-Channel Interference,Zero Forcing,Concept,Zero Forcing is a signal processing technique used in communication systems to eliminate interference by forcing the interference terms to zero. It is applied under general conducted test conditions as specified in section 4.,chunk-975016ea68906db80d527f6e3f8ef466,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4,General conducted test conditions,Concept<SEP>UNKNOWN,"General conducted test conditions refer to the standardized environmental and operational settings used for testing communication systems, specifically defined in section 4.<SEP>Zero Forcing is applied under general conducted test conditions as specified in section 4",Zero Forcing is applied under general conducted test conditions as specified in section 4,apply,"[""General conducted test conditions)##""]",chunk-975016ea68906db80d527f6e3f8ef466,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4,1.0,7
Co-Channel Interference,in-device coexistence interference,Concept,"in-device coexistence interference refers to interference occurring within a device due to coexistence of multiple radio technologies, and is the focus of the trace record described in the table.<SEP>in-device coexistence interference refers to interference caused by coexisting wireless technologies within a device, as specified in clause 4.34.3 of TS 38.331 [21].",chunk-16be714fa7709a91c307179a5bbfb670<SEP>chunk-ff07588e52f6cbede66f255d813df9ca,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.34.3<SEP>../3GPP-trunked/Rel-19/32_series/32423-j20.md4.34.1,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","in-device coexistence interference is the interference caused by coexisting radio technologies within a device, and is captured in the trace record when IDC assistance information is available in immediate M",Definition,,chunk-ff07588e52f6cbede66f255d813df9ca,../3GPP-trunked/Rel-19/32_series/32423-j20.md4.34.3,1.0,5
Co-Channel Interference,RTA,Concept,"RTA stands for Restricted Transmission, a condition or state where transmission is limited or controlled, likely to prevent interference or ensure compliance with regulatory or operational constraints.",chunk-a35c5af58bed3c0380a48cee9f491826,../3GPP-trunked/Rel-19/23_series/23700-59-j00.md3.2,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,TR 21.905 [1],Reference,,chunk-a35c5af58bed3c0380a48cee9f491826,../3GPP-trunked/Rel-19/23_series/23700-59-j00.md3.2,1.0,5
Co-Channel Interference,interference,Terminology,,chunk-de5e3d9660b0de6a395448c4128f72c0,../3GPP-trunked/Rel-19/28_series/28550-j00.md4.2,cell,Terminology,,"Interference originates from other cells in the cellular network, contributing to signal degradation.",origin,,chunk-a39cc900126dddcc17f5a8000a1da33e,../3GPP-trunked/Rel-19/38_series/38133-j00_sA.606-A.611.md10240,1.0,5
Co-Channel Interference,interference,Terminology,,chunk-de5e3d9660b0de6a395448c4128f72c0,../3GPP-trunked/Rel-19/28_series/28550-j00.md4.2,noise sources,Concept,"Noise sources are unintended signals or disturbances that degrade the quality of communication in a cellular network, originating from various external or internal factors.","Interference also originates from noise sources, which are external or internal disturbances affecting signal quality.)##",origin,,chunk-a39cc900126dddcc17f5a8000a1da33e,../3GPP-trunked/Rel-19/38_series/38133-j00_sA.606-A.611.md10240,1.0,5
Co-Channel Interference,Minimum guardband,Concept,"The minimum guardband is a specified frequency gap required between the edge of a BS channel bandwidth and adjacent signals to prevent interference. It is defined in tables 5.3.3-1, 5.3.3-2, 5.3.3-2a, and 5.3.3-3 for FR1 and FR2, depending on the SCS (Subcarrier Spacing) and BS channel bandwidth. The guardband values are provided in kHz and vary based on the numerology and frequency band. The guardband must be maintained when multiple numerologies are multiplexed in the same symbol, with specific rules for FR1 and FR2.",chunk-5b709a85f8ee9a243220c0ba889409ef,../3GPP-trunked/Rel-19/38_series/38104-j00.md5.3.3,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,table 5.3.3-1<SEP>table 5.,Reference,,chunk-5b709a85f8ee9a243220c0ba889409ef,../3GPP-trunked/Rel-19/38_series/38104-j00.md5.3.3,2.0,5
Co-Channel Interference,output power dynamics requirements,Concept<SEP>UNKNOWN,Output power dynamics requirements are the specifications outlined in clause 6.3.1 that define the behavior of power output in the system.<SEP>Power control is used to limit interference in the system,chunk-a77d8cb6646eb41433ce1d5a725157c5,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.1,Transmitted signal quality,Concept,"Transmitted signal quality is a requirement that applies to BS type 1-C and BS type 1-H, with the applicable clause specified as 6.5.",Transmitted signal quality must be maintained to satisfy the output power dynamics requirements in clause 6.3.1,require,,chunk-a77d8cb6646eb41433ce1d5a725157c5,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.1,1.0,5
Co-Channel Interference,Io,Signal,"Io is a parameter assumed to have constant EPRE (Energy Per Resource Element) across the bandwidth in the context of NR (New Radio) operating band groups in FR1, as specified in clause 3.5.2.<SEP>Io is the interference power assumed to have constant EPRE across the bandwidth, as specified in Note 1. It is used in the context of NR operating band groups in FR1 and is referenced in multiple tables for minimum and maximum values under different conditions.<SEP>Io is the interference power observed at the reference point, assumed to have constant EPRE across the bandwidth, and is used in the calculation of SSB Ês/Iot.",chunk-676c141a34619f86909d67df3639acf4<SEP>chunk-3456c84ce2a85b545ce9016ea54578e5<SEP>chunk-a9edaafaf7fcc1eef310d0151958ad69,../3GPP-trunked/Rel-19/38_series/38133-j00_s10-11.md10.1.2.3.1<SEP>../3GPP-trunked/Rel-19/38_series/38133-j00_s10-11.md10.1.2.3.2<SEP>../3GPP-trunked/Rel-19/38_series/38133-j00_s10-11.md10.1.3.1.2,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.",Io is assumed,Definition,,chunk-e7f0a439b5adeb6db15556f230d661ee,../3GPP-trunked/Rel-19/38_series/38133-j00_s10-11.md10.1.2.1.2,1.0,5
