telecomts_fault,candidate_entity,candidate_type,candidate_description,candidate_source_id,candidate_file_path,related_entity,related_type,related_description,edge_description,edge_keywords,edge_conditions,edge_source_id,edge_file_path,edge_weight
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,TS 38.331 subclause 5.8.8,Reference,,chunk-b4aca0be3f1decaa5557eefcea27c82d,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s12-s14.md12.1.1.1.2,1.0
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,release,Terminology,,Conformance requirements vary between different releases of core specifications,differ,"[""core specifications""]",chunk-2c45e697ca88b93c4791cc40ea551b08,../3GPP-trunked/Rel-19/38_series/38523-1-j00_cover.md4.4,1.0
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,TS 38.104 [2],Reference,,chunk-0f595be48d3acba9ba5bfcb151e53c27,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md1,1.0
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,TS 38.104 [2],Reference,,chunk-2d761ca3641320f2bddfad5e4ee553f0,../3GPP-trunked/Rel-19/38_series/38141-2-j00.mdNone,1.0
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,TS 38.331 subclause 5.8.8,Reference,,chunk-b4aca0be3f1decaa5557eefcea27c82d,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s12-s14.md12.1.1.1.2,1.0
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,release,Terminology,,Conformance requirements vary between different releases of core specifications,differ,"[""core specifications""]",chunk-2c45e697ca88b93c4791cc40ea551b08,../3GPP-trunked/Rel-19/38_series/38523-1-j00_cover.md4.4,1.0
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,Handling of differences,Concept,Handling of differences refers to the process or method used to manage discrepancies in conformance requirements across different releases of core specifications.,Handling of differences manages discrepancies in conformance requirements across different releases,manage,"[""core specifications""]",chunk-2c45e697ca88b93c4791cc40ea551b08,../3GPP-trunked/Rel-19/38_series/38523-1-j00_cover.md4.4,1.0
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,core specifications,Concept<SEP>UNKNOWN,"Core specifications are foundational documents that define the technical standards and requirements for a system, particularly in telecommunications. They evolve across releases, leading to variations in conformance requirements.<SEP>Handling of differences applies to differences between releases of core specifications",Conformance requirements vary between different releases of core specifications,Condition,,chunk-2c45e697ca88b93c4791cc40ea551b08,../3GPP-trunked/Rel-19/38_series/38523-1-j00_cover.md4.4,1.0
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,core specifications,Concept<SEP>UNKNOWN,"Core specifications are foundational documents that define the technical standards and requirements for a system, particularly in telecommunications. They evolve across releases, leading to variations in conformance requirements.<SEP>Handling of differences applies to differences between releases of core specifications",Conformance requirements vary between different releases of core specifications,Condition,,chunk-2c45e697ca88b93c4791cc40ea551b08,../3GPP-trunked/Rel-19/38_series/38523-1-j00_cover.md4.4,1.0
Antenna Failure,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1,Handling of differences,Concept,Handling of differences refers to the process or method used to manage discrepancies in conformance requirements across different releases of core specifications.,Handling of differences manages discrepancies in conformance requirements across different releases,manage,"[""core specifications""]",chunk-2c45e697ca88b93c4791cc40ea551b08,../3GPP-trunked/Rel-19/38_series/38523-1-j00_cover.md4.4,1.0
Antenna Failure,receiver RF requirements,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",Definition,"[""ATG UE""]",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,2.0
Antenna Failure,receiver RF requirements,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",Definition,"[""ATG UE""]",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,2.0
Antenna Failure,receiver RF requirements,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,ATG UE,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector","For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector",Condition,,chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,1.0
Antenna Failure,receiver RF requirements,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,ATG UE,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector","For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector",Condition,,chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,1.0
Antenna Failure,ATG UE,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,receiver RF requirements,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector","For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector",Condition,,chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,1.0
Antenna Failure,ATG UE,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,receiver RF requirements,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector","For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector",Condition,,chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,1.0
Antenna Failure,co-location reference antenna,Concept,co-location reference antenna is a passive antenna used as a reference for co-location requirements.,chunk-7255b5c187e8c20672a47fe6dfe82466,../3GPP-trunked/Rel-19/38_series/38176-1-j00.mdNone,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,clause 4.9,Reference,,chunk-c23b16204db96443579bd5a44c7c7c5a,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.3.3,1.0
Antenna Failure,co-location reference antenna,Concept,co-location reference antenna is a passive antenna used as a reference for co-location requirements.,chunk-7255b5c187e8c20672a47fe6dfe82466,../3GPP-trunked/Rel-19/38_series/38176-1-j00.mdNone,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,clause 4.9,Reference,,chunk-c23b16204db96443579bd5a44c7c7c5a,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.3.3,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","Transmitter characteristics are specified at the BS antenna connector (test port A) with a full complement of transceivers under normal operating conditions. If external apparatus such as a TX amplifier, a filter, or their combination is used, requirements apply at the far end antenna connector (test port B).",Definition,"[""normal operating conditions"", ""external apparatus""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,clause 6,Reference,,chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,DEF,UNKNOWN,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","Transmitter characteristics are specified at the BS antenna connector (test port A) with a full complement of transceivers under normal operating conditions. If external apparatus such as a TX amplifier, a filter, or their combination is used, requirements apply at the far end antenna connector (test port B).",Definition,"[""normal operating conditions"", ""external apparatus""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,clause 6,Reference,,chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,external apparatus,Terminology,,Transmitter characteristics requirements apply at test port B when external apparatus such as TX amplifier or filter is used,Condition,,chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,normal operating conditions,Terminology,,Transmitter characteristics are specified at test port A under normal operating conditions with full complement of transceivers,Condition,,chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,test port A,UNKNOWN,,Transmitter characteristics are specified at test port A under normal operating conditions with full complement of transceivers,specify_at,"[""normal operating conditions""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,test port B,Terminology,test port B is the far end antenna connector where transmitter requirements apply when external apparatus such as a TX amplifier or filter is used.<SEP>test port B is the far end antenna connector where receiver requirements apply when external apparatus such as a RX amplifier or filter is used.,Transmitter characteristics requirements apply at test port B when external apparatus such as TX amplifier or filter is used,apply_at,"[""external apparatus""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,external apparatus,Terminology,,Transmitter characteristics requirements apply at test port B when external apparatus such as TX amplifier or filter is used,Condition,,chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,normal operating conditions,Terminology,,Transmitter characteristics are specified at test port A under normal operating conditions with full complement of transceivers,Condition,,chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,test port A,UNKNOWN,,Transmitter characteristics are specified at test port A under normal operating conditions with full complement of transceivers,specify_at,"[""normal operating conditions""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
Antenna Failure,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,test port B,Terminology,test port B is the far end antenna connector where transmitter requirements apply when external apparatus such as a TX amplifier or filter is used.<SEP>test port B is the far end antenna connector where receiver requirements apply when external apparatus such as a RX amplifier or filter is used.,Transmitter characteristics requirements apply at test port B when external apparatus such as TX amplifier or filter is used,apply_at,"[""external apparatus""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1,1.0
