telecomts_fault,node_id,entity_id,entity_type,description,source_id,file_path,created_at,source_file,release,raw_entity_id,matched_terms
Antenna Failure,receiver RF requirements,receiver RF requirements,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,1770216694,Rel-19/38_series/38101-1-j10_s07-XX/graph_chunk_entity_relation.graphml,Rel-19,receiver RF requirements,antenna
Antenna Failure,ATG UE,ATG UE,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1,1770216694,Rel-19/38_series/38101-1-j10_s07-XX/graph_chunk_entity_relation.graphml,Rel-19,ATG UE,antenna
Antenna Failure,CFO correction,CFO correction,Concept,"CFO correction is a process performed on a slot-by-slot basis to adjust for carrier frequency offset, using a common frequency correction applied to both antenna outputs.",chunk-263a496daaae4e282d13c61a7f83f4ab,../3GPP-trunked/Rel-19/38_series/38101-1-j10_sAnnexes.md3,1770220152,Rel-19/38_series/38101-1-j10_sAnnexes/graph_chunk_entity_relation.graphml,Rel-19,CFO correction,antenna
Antenna Failure,antenna outputs,antenna outputs,Terminology,,chunk-263a496daaae4e282d13c61a7f83f4ab,../3GPP-trunked/Rel-19/38_series/38101-1-j10_sAnnexes.md3,1770220152,Rel-19/38_series/38101-1-j10_sAnnexes/graph_chunk_entity_relation.graphml,Rel-19,antenna outputs,antenna
Antenna Failure,co-location reference antenna,co-location reference antenna,Concept,co-location reference antenna is a passive antenna used as a reference for co-location requirements.,chunk-7255b5c187e8c20672a47fe6dfe82466,../3GPP-trunked/Rel-19/38_series/38176-1-j00.mdNone,1770228057,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,co-location reference antenna,antenna
Antenna Failure,minimum mechanical down tilt,minimum mechanical down tilt,Concept,Minimum mechanical down tilt is the smallest angle at which the antenna,chunk-70947939508fa52275c478817bc5ed32,../3GPP-trunked/Rel-19/38_series/38141-2-j00.md4.6,1770228079,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,minimum mechanical down tilt,antenna
Antenna Failure,maximum electrical steering range,maximum electrical steering range,Concept,Maximum electrical steering range is the largest angular range over which the beam direction of a Base Station antenna can be electronically adjusted without mechanical movement.,chunk-70947939508fa52275c478817bc5ed32,../3GPP-trunked/Rel-19/38_series/38141-2-j00.md4.6,1770228079,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,maximum electrical steering range,antenna
Antenna Failure,increased mechanical down tilt,increased mechanical down tilt,Concept,"Increased mechanical down tilt is the adjusted mechanical tilt angle of a Base Station antenna that is declared when the maximum electrical steering range is used, to compensate for the lack of simultaneous support with minimum mechanical down tilt.",chunk-70947939508fa52275c478817bc5ed32,../3GPP-trunked/Rel-19/38_series/38141-2-j00.md4.6,1770228079,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,increased mechanical down tilt,antenna
Antenna Failure,mechanical tilt for EEIRP,mechanical tilt for EEIRP,Concept,"Mechanical tilt for EEIRP (Effective Isotropic Radiated Power) refers to the physical adjustment of an antenna's angle to control signal coverage, declared together with D",chunk-e19fe0c49e812b45cf4c341ad8b001de,../3GPP-trunked/Rel-19/38_series/38141-2-j00.md4.6,1770228103,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,mechanical tilt for EEIRP,antenna
Antenna Failure,Conducted Requirements,Conducted Requirements,Concept,"Conducted Requirements are defined at individual or groups of TAB connectors at the transceiver array boundary, representing the conducted interface between the transceiver unit array and the composite antenna.",chunk-5ef4fabfa4bd228d78e7b96b457b010a,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.2.1,1770228108,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,Conducted Requirements,antenna
Antenna Failure,Composite Antenna,Composite Antenna,Technology,"Composite Antenna contains a radio distribution network (RDN) and an antenna array. The RDN is a linear passive network that distributes RF power from the transceiver unit array to the antenna array, or distributes received signals from the antenna array to the transceiver unit array in an implementation-specific manner.",chunk-5ef4fabfa4bd228d78e7b96b457b010a,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.2.1,1770228108,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,Composite Antenna,antenna
Antenna Failure,Radio Distribution Network,Radio Distribution Network,Technology,"Radio Distribution Network (RDN) is a linear passive network within the composite antenna that facilitates the distribution of RF power from the transceiver unit array to the antenna array, or the reverse for received signals, in an implementation-specific way.",chunk-5ef4fabfa4bd228d78e7b96b457b010a,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.2.1,1770228108,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,Radio Distribution Network,antenna
Antenna Failure,Antenna Array,Antenna Array,Technology,"Antenna Array is a component of the composite antenna that receives or transmits radio signals, working in conjunction with the radio distribution network to enable",chunk-5ef4fabfa4bd228d78e7b96b457b010a,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.2.1,1770228108,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,Antenna Array,antenna
Antenna Failure,PUSCH,PUSCH,Technology,"PUSCH is a physical uplink shared channel used for transmitting data from the UE to the base station, evaluated under single antenna port and fading channel conditions with a maximum test system uncertainty of ±0.6 dB.",chunk-cc3d0292af6d2d0c5c6d1c2a8b40c763,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.1.2.4,1770228108,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,PUSCH,antenna
Antenna Failure,PUCCH,PUCCH,Technology,"PUCCH is a physical uplink control channel used for transmitting control information from the UE to the base station, evaluated under single antenna port and fading channel conditions with a maximum test system uncertainty of ±0.6 dB.",chunk-cc3d0292af6d2d0c5c6d1c2a8b40c763,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.1.2.4,1770228108,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,PUCCH,antenna
Antenna Failure,PRACH,PRACH,Technology,"PRACH is a physical random access channel used for initial access by the UE, evaluated under single antenna port and AWGN conditions",chunk-cc3d0292af6d2d0c5c6d1c2a8b40c763,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.1.2.4,1770228108,Rel-19/38_series/38101-3-j10_cover/graph_chunk_entity_relation.graphml,Rel-19,PRACH,antenna
Antenna Failure,transmitter characteristics,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,1770224378,Rel-19/38_series/38101-3-j10_s06-XX/graph_chunk_entity_relation.graphml,Rel-19,transmitter characteristics,antenna
Antenna Failure,frequency range 1,frequency range 1,Concept,Frequency range 1 refers to a band configuration where transmitter characteristics are specified at the antenna connector(s) of the UE. Requirements for this range can be verified with NR FR2 link disabled.,chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1,1770224378,Rel-19/38_series/38101-3-j10_s06-XX/graph_chunk_entity_relation.graphml,Rel-19,frequency range 1,antenna
Antenna Failure,inter-band EN-DC,inter-band EN-DC,Concept,"inter-band EN-DC is a configuration where E-UTRA and NR operate in different frequency bands with different carrier frequencies. It supports uplink switching mechanisms specified in sub-clause 6.1.6 of TS 38.214 [14], and requires the UE to support switching between single layer transmission with one antenna port and two-layer transmission with two antenna ports on the uplink carriers.<SEP>inter-band EN-DC refers to a dual connectivity scenario where E-UTRA and NR operate on different frequency bands, requiring specific switching time and power dynamics handling for UL transmission.",chunk-1bdb8aa440d9714d6103fd491f2c688a<SEP>chunk-fff659fd8dc6be689ab95f6905d623b2,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.3,1770224410,Rel-19/38_series/38101-3-j10_s06-XX/graph_chunk_entity_relation.graphml,Rel-19,inter-band EN-DC,antenna
Antenna Failure,est Procedures for Antennas,est Procedures for Antennas,Document,est Procedures for Antennas is a document published by IEEE that contains procedures related to antennas.,chunk-f8608122158cb2e6e740f18a9a56219b,../3GPP-trunked/Rel-19/38_series/38101-5-j00.mdNone,1770229529,Rel-19/38_series/38101-5-j00/graph_chunk_entity_relation.graphml,Rel-19,est Procedures for Antennas,antenna
Antenna Failure,Co-polarized transmission,Co-polarized transmission,Concept,Co-polarized transmission occurs when the DUT transmission antenna polarization is aligned with the test antenna polarization.,chunk-60b5c2f4b106c89b2625a3583718ea42,../3GPP-trunked/Rel-19/38_series/38101-5-j00.mdNone,1770229592,Rel-19/38_series/38101-5-j00/graph_chunk_entity_relation.graphml,Rel-19,Co-polarized transmission,antenna
Antenna Failure,Cross-polarized transmission,Cross-polarized transmission,Concept,Cross-polarized transmission occurs when the DUT transmission antenna polarization is oriented such that an incident wave from the DUT results in the lowest available power at the test antenna.,chunk-60b5c2f4b106c89b2625a3583718ea42,../3GPP-trunked/Rel-19/38_series/38101-5-j00.mdNone,1770229592,Rel-19/38_series/38101-5-j00/graph_chunk_entity_relation.graphml,Rel-19,Cross-polarized transmission,antenna
Antenna Failure,antenna connector,antenna connector,Terminology,antenna connector is the connector at the conducted interface of the BS type 1-C.,chunk-84a02a30e5cffd18d68ef7e86e185efd,../3GPP-trunked/Rel-19/38_series/38104-j00.md3.1,1770218226,Rel-19/38_series/38104-j00/graph_chunk_entity_relation.graphml,Rel-19,antenna connector,antenna
Antenna Failure,BS type 1-C,BS type 1-C,Technology,"BS type 1-C is a base station configuration where requirements are applied at the BS antenna connector (port A) for a single transmitter or receiver, or at the full complement of transceivers under normal operating conditions. If external apparatus such as amplifiers, filters, or their combination are used, the requirements apply at the far end antenna connector (port B).<SEP>BS type 1-C is a base station type in Japan whose emission limits may apply to the sum of emission power over all antenna connectors for Band n41 and Band n90 operations.",chunk-07f807123a347fd4aff6989a554b6bed<SEP>chunk-6a9155c687b93ecbea681139292bc065,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.3.1<SEP>../3GPP-trunked/Rel-19/38_series/38104-j00.md4.5,1770218452,Rel-19/38_series/38104-j00/graph_chunk_entity_relation.graphml,Rel-19,BS type 1-C,antenna
Antenna Failure,composite antenna,composite antenna,Technology,"The composite antenna consists of a radio distribution network (RDN) and an antenna array. The RDN is a linear passive network that distributes RF power from the transceiver unit array to the antenna array, or distributes received radio signals from the antenna array to the transceiver unit array, in an implementation-specific manner.",chunk-20d9959e3fd97c66f412c120803eb5de,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.3.2,1770218300,Rel-19/38_series/38104-j00/graph_chunk_entity_relation.graphml,Rel-19,composite antenna,antenna
Antenna Failure,OTA base station output power,OTA base station output power,Technology,"OTA base station output power refers to the radiated output power measured at the antenna port, subject to regional limits in specific bands and regions.)##
(entity",chunk-fdfc2082b8d5d3c4e5aedf928b08cea4,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.5,1770218451,Rel-19/38_series/38104-j00/graph_chunk_entity_relation.graphml,Rel-19,OTA base station output power,antenna
Antenna Failure,Band n41,Band n41,Technology,"Band n41 is a specific frequency band used for NR operation, subject to additional regulatory requirements in Japan, including absolute ACLR limits and operating band unwanted emissions limits.<SEP>Band n41 is a frequency band used for wireless communication in Japan, where the emission limits for BS type 1-C may apply to the sum of emission power over all antenna connectors.",chunk-07f807123a347fd4aff6989a554b6bed<SEP>chunk-fdfc2082b8d5d3c4e5aedf928b08cea4,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.5,1770218451,Rel-19/38_series/38104-j00/graph_chunk_entity_relation.graphml,Rel-19,Band n41,antenna
Antenna Failure,Band n90,Band n90,Technology,"Band n90 is a specific frequency band used for NR operation, subject to additional regulatory requirements in Japan, including output power limits, absolute ACLR limits, and operating band unwanted emissions limits.<SEP>Band n90 is a frequency band used for wireless communication in Japan, where the emission limits for BS type 1-C may apply to the sum of emission power over all antenna connectors.",chunk-07f807123a347fd4aff6989a554b6bed<SEP>chunk-fdfc2082b8d5d3c4e5aedf928b08cea4,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.5,1770218451,Rel-19/38_series/38104-j00/graph_chunk_entity_relation.graphml,Rel-19,Band n90,antenna
Antenna Failure,RIB,RIB,Technology,A RIB (Radio Interface Board) is a component in BS type 1-O that interfaces with the antenna system and supports either single-band or multi-band operation.,chunk-17538c1a8a5914c4fdc81fd9b948b973,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.8,1770218451,Rel-19/38_series/38104-j00/graph_chunk_entity_relation.graphml,Rel-19,RIB,antenna
Antenna Failure,OTA co-location requirements,OTA co-location requirements,Concept,"OTA co-location requirements are technical specifications that ensure minimal interference between two co-located base station systems, specifically BS type 1-O and a co-location reference antenna. These requirements are based on the power at the conducted interface of the reference antenna and apply to both uplink and downlink signals.",chunk-118e8bed3ea96ac25a73791846ebea74,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.9,1770218477,Rel-19/38_series/38104-j00/graph_chunk_entity_relation.graphml,Rel-19,OTA co-location requirements,antenna
Antenna Failure,Antenna connector,Antenna connector,Terminology,,chunk-0bf7c3dc753522e6404059939cd15d0c,../3GPP-trunked/Rel-19/38_series/38106-j00.mdNone,1770231808,Rel-19/38_series/38106-j00/graph_chunk_entity_relation.graphml,Rel-19,Antenna connector,antenna
Antenna Failure,Maximum passband output power,Maximum passband output power,Concept,Maximum passband output power is the mean power level measured per passband at the antenna connector during the transmitter ON state under a specified reference condition.,chunk-0bf7c3dc753522e6404059939cd15d0c,../3GPP-trunked/Rel-19/38_series/38106-j00.mdNone,1770231809,Rel-19/38_series/38106-j00/graph_chunk_entity_relation.graphml,Rel-19,Maximum passband output power,antenna
Antenna Failure,RF repeater type 1-C,RF repeater type 1-C,Technology,"RF repeater type 1-C is a repeater operating at FR1 with a requirement set consisting only of conducted requirements defined at individual antenna connectors.<SEP>RF repeater type 1-C is a specific type of repeater used in downlink configurations, associated with the definition of downlink repeater classes including Wide Area, Medium Range, and Local Area repeaters.<SEP>RF repeater type 1-C is a specific type of repeater used in uplink and downlink configurations, and it is associated with uplink and downlink repeater classes as defined in the specification.",chunk-1ea94a35ecb3242db3ad99e82d5a4994<SEP>chunk-b8966f841bc5837b85972e0186e32b85<SEP>chunk-715b83bdca3971efd19eef0299f2df4c,../3GPP-trunked/Rel-19/38_series/38106-j00.mdNone<SEP>../3GPP-trunked/Rel-19/38_series/38106-j00.md4.3.1<SEP>../3GPP-trunked/Rel-19/38_series/38106-j00.md4.3.2,1770231917,Rel-19/38_series/38106-j00/graph_chunk_entity_relation.graphml,Rel-19,RF repeater type 1-C,antenna
Antenna Failure,Single-band connector,Single-band connector,Concept,"Single-band connector is a repeater type 1-C antenna connector that supports operation in a single operating band only,",chunk-b8966f841bc5837b85972e0186e32b85,../3GPP-trunked/Rel-19/38_series/38106-j00.mdNone,1770231809,Rel-19/38_series/38106-j00/graph_chunk_entity_relation.graphml,Rel-19,Single-band connector,antenna
Antenna Failure,Total radiated power,Total radiated power,Concept,"Total radiated power is the total power radiated by the antenna, defined in both the near-field region and the far-field region, and includes power radiating in all directions for two orthogonal polarizations.",chunk-b8966f841bc5837b85972e0186e32b85,../3GPP-trunked/Rel-19/38_series/38106-j00.mdNone,1770231829,Rel-19/38_series/38106-j00/graph_chunk_entity_relation.graphml,Rel-19,Total radiated power,antenna
Antenna Failure,RF Repeater type 1-C,RF Repeater type 1-C,Concept,RF Repeater type 1-C is a repeater configuration where RF requirements are applied at the repeater antenna connector (BS-side or UE-side) for downlink or uplink under normal operating conditions.,chunk-48934997f05549837556d4f7ec35e078,../3GPP-trunked/Rel-19/38_series/38106-j00.md4.2.1,1770231885,Rel-19/38_series/38106-j00/graph_chunk_entity_relation.graphml,Rel-19,RF Repeater type 1-C,antenna
Antenna Failure,NCR type 1-C,NCR type 1-C,Concept,"NCR type 1-C is a network-controlled repeater configuration where NCR-Fwd RF requirements are applied at the NCR antenna connector (BS-side or UE-side) for downlink or uplink, and NCR-MT RF requirements are applied at the NCR antenna connector (BS-side) under normal operating conditions.",chunk-48934997f05549837556d4f7ec35e078,../3GPP-trunked/Rel-19/38_series/38106-j00.md4.2.1,1770231885,Rel-19/38_series/38106-j00/graph_chunk_entity_relation.graphml,Rel-19,NCR type 1-C,antenna
Antenna Failure,NCR antenna connector,NCR antenna connector,Terminology,,chunk-48934997f05549837556d4f7ec35e078,../3GPP-trunked/Rel-19/38_series/38106-j00.md4.2.1,1770231885,Rel-19/38_series/38106-j00/graph_chunk_entity_relation.graphml,Rel-19,NCR antenna connector,antenna
Antenna Failure,beam peak directions,beam peak directions,Concept,"Beam peak directions are specific directions in which the antenna beam reaches its maximum radiation intensity, and they are related to a contiguous range or discrete list of beam centre directions via beam direction pairs included in the set.",chunk-b8e89e177cd199d3bbe395a71cb4c1e0,../3GPP-trunked/Rel-19/38_series/38108-j00.md3.1,1770218782,Rel-19/38_series/38108-j00/graph_chunk_entity_relation.graphml,Rel-19,beam peak directions,antenna
Antenna Failure,SAN type 1-H,SAN type 1-H,Technology,"SAN type 1-H is a system configuration defined with two points of reference: radiated and conducted requirements. It involves the Radiated Interface Boundary (RIB) for over-the-air (OTA) characteristics and the transceiver array boundary for conducted characteristics. The system includes a satellite payload composed of a transceiver unit array and a composite antenna array, with specific implementation-dependent configurations.<SEP>SAN type 1-H is a specific type of Satellite Access Node, categorized under the broader SAN types and subject to the same deployment scenarios as other SAN types.<SEP>SAN type 1-H is a configuration for which conducted transmitter characteristics are specified at the TAB connector with a full complement of transceiver units under normal operating conditions.<SEP>SAN type 1-H is a type of equipment or system with a minimum requirement defined in section 6.2.2, where the maximum carrier output power Pmax,c,TABC must remain within ±2 dB of the rated carrier output power Prated,c,TABC for each TAB connector as declared by the manufacturer under normal conditions.<SEP>SAN type 1-H is a type of satellite access network (SAN) for which output power requirements are defined at the TAB connector. Its rated carrier output power must comply with the values specified in Table 6.2.1-2 and is categorized by SAN class.<SEP>SAN type 1-H is a type of satellite access node defined in section 6.3.2.2 with a minimum requirement for RE power control dynamic range as specified in Table 6.3.2.2-1.<SEP>SAN type 1-H is a specific type of SAN that supports transmission in the operating band and is subject to the SAN total power dynamic range requirement at each TAB connector.",chunk-fad5a5aeffccd7a9261c3566c1692738<SEP>chunk-8bbb8adf31ebb53a4ad9291bbbafa004<SEP>chunk-58af631c94515826e31371838a0a425a<SEP>chunk-9e8f43190acce591171bdda209041182<SEP>chunk-48a8e1dda8b180b711fb9ed2f83671ec<SEP>chunk-fd9a989e24b03c31ae1eb8f30445c635<SEP>chunk-b6fc8dbed0bda64469592ac933b280ae,../3GPP-trunked/Rel-19/38_series/38108-j00.md4.3.1<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md4.4<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.1<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.2.2<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.2.1<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.2.2<SEP>../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.3.1,1770219132,Rel-19/38_series/38108-j00/graph_chunk_entity_relation.graphml,Rel-19,SAN type 1-H,antenna
Antenna Failure,Composite Antenna Array,Composite Antenna Array,Technology,The composite antenna array is,chunk-58af631c94515826e31371838a0a425a,../3GPP-trunked/Rel-19/38_series/38108-j00.md4.3.1,1770218975,Rel-19/38_series/38108-j00/graph_chunk_entity_relation.graphml,Rel-19,Composite Antenna Array,antenna
Antenna Failure,Satellite Payload,Satellite Payload,Technology,"The satellite payload consists of a transceiver unit array and a composite antenna array, forming the core communication subsystem responsible for signal processing and transmission/reception in satellite communications.",chunk-58af631c94515826e31371838a0a425a,../3GPP-trunked/Rel-19/38_series/38108-j00.md4.3.1,1770218975,Rel-19/38_series/38108-j00/graph_chunk_entity_relation.graphml,Rel-19,Satellite Payload,antenna
Antenna Failure,multi-Rx operation,multi-Rx operation,Concept,"multi-Rx operation refers to a capability in which a device can receive signals simultaneously on multiple receive chains or antennas, enhancing signal reliability and throughput. It is applicable in Frequency Range (FR) as defined in section 3.6.19.",chunk-e830537219277645d8ba172efb7d11ba,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md3.6.19,1770217231,Rel-19/38_series/38133-j00_cover/graph_chunk_entity_relation.graphml,Rel-19,multi-Rx operation,antenna
Antenna Failure,2Rx RedCap UE,2Rx RedCap UE,Concept,"2Rx RedCap UE is a type of Reduced Capability User Equipment designed for 2 receive antennas, operating under specific configuration rules for CSI-RS evaluation periods in FR1. It is subject to different evaluation time calculations based on DRX settings and supports measurement of CSI-RS for RLM without measurement gaps.",chunk-2d3e34bd62fc8e8199a7940d41f00955,../3GPP-trunked/Rel-19/38_series/38133-j00_s8-8.md8.1.8,1770221068,Rel-19/38_series/38133-j00_sA.1-A.3/graph_chunk_entity_relation.graphml,Rel-19,2Rx RedCap UE,antenna
Antenna Failure,1Rx RedCap UE,1Rx RedCap UE,Concept,"1Rx RedCap UE is a type of Reduced Capability User Equipment designed for 1 receive antenna, operating under specific configuration rules for CSI-RS evaluation periods in FR1. It is subject to different evaluation time calculations based on DRX settings and supports measurement of CSI-RS for RLM without measurement gaps.",chunk-2d3e34bd62fc8e8199a7940d41f00955,../3GPP-trunked/Rel-19/38_series/38133-j00_s8-8.md8.1.8,1770221068,Rel-19/38_series/38133-j00_sA.1-A.3/graph_chunk_entity_relation.graphml,Rel-19,1Rx RedCap UE,antenna
Antenna Failure,out_SSB,out_SSB,Concept,"out_SSB is a parameter defined in Table 8.1D.2.2-1 for FR1, representing the evaluation period for SSB-based radio link monitoring when the SSB is not overlapping with measurement gaps. It is used in the context of FR1 ATG UEs with omni-directional antennas and is calculated based on P value and TSSB.",chunk-3aa8c283d35d4124524acdf773fc70ff,../3GPP-trunked/Rel-19/38_series/38133-j00_s8-8.md8.1.8,1770221098,Rel-19/38_series/38133-j00_sA.1-A.3/graph_chunk_entity_relation.graphml,Rel-19,out_SSB,antenna
