matched_terms,entity_id,entity_type,description,source_id,file_path
mobility,Policy and Charging Control Framework,Concept,"The Policy and Charging Control Framework is a Stage 2 framework defined in the present document for the 5G System as specified in TS 23.501 [2] and TS 23.502 [3]. It encompasses high-level functions including Flow Based Charging for network usage, Policy Control for session management and service data flows, Management of access and mobility related policies, and Management of UE policy information.",chunk-7f53b1f5f6d9c44056149b38e48af3b2,../3GPP-trunked/Rel-19/23_series/23503-j30.md1
mobility,Access and Mobility Related Policies,Concept,Access and Mobility Related Policies are managed by the Policy and Charging Control Framework and relate to network access and mobility management in the 5G System.,chunk-7f53b1f5f6d9c44056149b38e48af3b2,../3GPP-trunked/Rel-19/23_series/23503-j30.md1
mobility,Logged MBSFN MDT,Concept,"Logged MBSFN MDT is a type of measurement data collection defined in clause 6.2.2 that focuses on Multicast Broadcast Single Frequency Network Measurement Data Tracking. It supports independent session activation from other mobility-related performance measurements and call trace collection, and is subject to specific configuration and deactivation rules.",chunk-4a136b97098deb244fd4af9e360cfd12,../3GPP-trunked/Rel-19/32_series/32421-j20.md6.2.2
mobility,AS layer,Technology,"Access Stratum layer is a technology layer in the 5G protocol stack responsible for handling radio resource management, mobility, and security functions between the UE and the network.",chunk-fc427379d638e871fbd80bf131bda182,../3GPP-trunked/Rel-19/23_series/23304-j30.mdNone
mobility,SGSN/MME,Technology,"SGSN/MME is a network node that handles mobility management and session management for UEs, and is responsible for initiating the Update CSG Location Procedure to retrieve CSG subscription data from the CSS.",chunk-076e81246046d18e83c5493b69c2ef03,../3GPP-trunked/Rel-19/23_series/23401-j20.md1
mobility,Service continuity support,Concept,"Service continuity support is a functionality provided to ensure uninterrupted service during UE mobility or load balancing. It is implemented by the SEALDD layer, which maintains the transport layer connection through interaction with the SEALDD context and requests the 5GC to perform seamless data transmission, such as IP replacement procedure or simultaneous connectivity.",chunk-4518c9c71800cf976fa2b4a9687be586,../3GPP-trunked/Rel-19/23_series/23433-j50.mdNone
mobility,SEALDD context,Technology,SEALDD context is a data structure or state maintained by the SEALDD layer to support the continuity of transport layer connections during UE mobility or load balancing.,chunk-4518c9c71800cf976fa2b4a9687be586,../3GPP-trunked/Rel-19/23_series/23433-j50.mdNone
mobility,simultaneous connectivity,Concept,"simultaneous connectivity is a seamless data transmission method used during service continuity support that allows the UE to maintain multiple connections simultaneously, ensuring uninterrupted service during mobility or load balancing.",chunk-4518c9c71800cf976fa2b4a9687be586,../3GPP-trunked/Rel-19/23_series/23433-j50.mdNone
mobility,UE mobility,Concept,"UE mobility refers to the movement of the User Equipment across network cells, which triggers the need for service continuity support to maintain ongoing sessions.",chunk-4518c9c71800cf976fa2b4a9687be586,../3GPP-trunked/Rel-19/23_series/23433-j50.mdNone
mobility,Applicable Triggers in the GMLC,Concept,Applicable Triggers in the GMLC refers to the set of conditions or events that initiate specific procedures or actions within the Gateway Mobile Location Center (GMLC). These triggers are defined in section 5.4.1.2 and are relevant to location-based services and mobility management.,chunk-c304dcec2db4dc1c100bd5cedb30e588,../3GPP-trunked/Rel-19/32_series/32271-j10.md5.4.1.2
mobility,AM Policy Association,Concept,AM Policy Association is an association between the AMF and the PCF (i.e. the PCF for the UE) for performing access and mobility related policy control for a UE.,chunk-ad394ae3e7d8515564dba60b91dea492,../3GPP-trunked/Rel-19/23_series/23503-j30.md3.1
mobility,ACT,Technology,ACT stands for Application Context Transfer and involves the transfer of application context between edge nodes during mobility or service continuity.,chunk-dba085bdaf7ff3aac2a2a15512533494,../3GPP-trunked/Rel-19/23_series/23558-j50.md3.3<SEP>../3GPP-trunked/Rel-19/23_series/23558-j50.mdNone
mobility,Key Performance Indicator (KPI),Concept,"Key Performance Indicator (KPI) is performance data calculated according to the formula specified in the Key Performance Indicator definition. It represents an indicator of network performance and can be sub-categorized into Accessibility, Integrity, Utilization, Retainability, Mobility, Energy Efficiency, Reliability, Air-Interface Efficiency, and Availability. Further sub-categories are not precluded.",chunk-cd02b07cdd5f4d9a6cc65dccffd3f89c,../3GPP-trunked/Rel-19/32_series/32401-j00.md3.1
mobility,Mobility,Category,"Mobility is a sub-category of Key Performance Indicator (KPI) that assesses the performance of user movement across network cells.)##
(entity<",chunk-cd02b07cdd5f4d9a6cc65dccffd3f89c,../3GPP-trunked/Rel-19/32_series/32401-j00.md3.1
mobility,VMSC,Technology,"VMSC is an acronym for Visited MSC, a mobile switching center that handles call routing and mobility management for users visiting a foreign network.",chunk-832eb5ea43f333e7f91f0b86c36bd4d5,../3GPP-trunked/Rel-19/32_series/32240-j20.md3.3
mobility,ServiceProfileChargingInformation,Concept,"ServiceProfileChargingInformation is a type used within NSMChargingInformation as an element of the listOfServiceProfile<SEP>ServiceProfileChargingInformation is a type defined in Table 6.1.6.2.6.4-1 that contains attributes related to service profile charging information. It includes fields such as serviceProfileIdentifier, sNSSAIList, sST, latency, availability, resourceSharingLevel, jitter, reliability, maxNumberofUEs, coverageArea, uEMobilityLevel, delayToleranceIndicator, dLThptPerSlice, dLThptPerUE, uLThptPerSlice, uLThptPerUE, maxNumberofPDUsessions, kPIMonitoringList, supportedAccessTechnology, v2XCommunicationModeIndicator, energyEfficiency, and addServiceProfileChargingInfo. Each attribute has a specified data type, cardinality, and applicability.",chunk-0dd4328cd7994cc64b539596e33f20ed<SEP>chunk-3489a097eb0cf540c5009c3a505036bc,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.2.6.3<SEP>../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.2.6.4
mobility,uEMobilityLevel,Terminology,,chunk-3489a097eb0cf540c5009c3a505036bc,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.2.6.4
mobility,ROAMING_DEFAULT,Concept,"ROAMING_DEFAULT is a value of ChargingCharacteristicsSelectionMode indicating that the subscriber belongs to the same PLMN as the Access and Mobility Management Function (AMF), but the AMF belongs to a different PLMN than the SMF.",chunk-87da64e252d614d9536aa5d6a0f0ec84,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.3.5
mobility,Access and Mobility Management Function,Terminology,,chunk-87da64e252d614d9536aa5d6a0f0ec84,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.3.5
mobility,RegistrationMessageType,Concept,"RegistrationMessageType is an enumeration defined in Table 6.1.6.3.30-1 that specifies the type of registration message in a system. It includes five values: INITIAL, MOBILITY, PERIODIC, EMERGENCY, and DEREGISTRATION, each corresponding to a specific registration scenario.",chunk-1e2d45a21566c4248aa1864979e3f8dc,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.3.30
mobility,MOBILITY,Concept,"MOBILITY is a value in the RegistrationMessageType enumeration that indicates a mobility registration update, triggered when a user equipment moves to a new location.",chunk-1e2d45a21566c4248aa1864979e3f8dc,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.3.30
mobility,5G connection and mobility Specified Data Type,Concept,5G connection and mobility Specified Data Type is a data type defined in section 6.1.6.2.4 that pertains to the management and handling of connection and mobility-related information in 5G networks.)##,chunk-d7f283de89c370d6c1ff01b6dbac9cef,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.2.4
mobility,aMFId,Technology,"aMFId is a field in ChargingDataRequest that represents the AMF identifier, with data type AmfId, cardinality 0..1, and is used to identify the Access and Mobility Management Function in 5G networks.",chunk-43928de59c859cff891671ad1cb597e0,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.2.4.1
mobility,locationReportingChargingInformation,Concept,"locationReportingChargingInformation is an attribute of the ChargingDataResponse type that holds 5G connection and mobility-specific location reporting charging information. It has a data type of LocationReportingChargingInformation, is optional (OC), and occurs 0 to 1 time.",chunk-8e42208666ac305506877c01278d3ebd,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.2.4.2
mobility,3GPP TS 32.256 [31],UNKNOWN,This clause specifies additional attributes of the type ChargingDataResponse defined in clause 6.1.6.2.1.2 for 5G connection and mobility described in 3GPP TS 32.256 [31],chunk-8e42208666ac305506877c01278d3ebd,../3GPP-trunked/Rel-19/32_series/32291-j20.md6.1.6.2.4.2
mobility,5GS registration type IE,Technology,"5GS registration type IE is a field in the registration procedure that indicates the type of registration, such as ""mobility registration updating"" or ""SNPN onboarding registration"", and determines whether requested",chunk-0a353e7ad74ac1b9e957b4d3675aa15d,../3GPP-trunked/Rel-19/24_series/24501-j20.md4.6.2.1
mobility,NB-N1 mode,Technology,"NB-N1 mode is a UE operation mode in which the UE does not include the requested NSSAI during the registration procedure when the 5GS registration type IE indicates ""mobility registration updating"", and the procedure is not initiated to change the current slice(s).",chunk-0a353e7ad74ac1b9e957b4d3675aa15d,../3GPP-trunked/Rel-19/24_series/24501-j20.md4.6.2.1
mobility,P-TMSI,Technology,"P-TMSI is a packet-Temporary Mobile Subscriber Identity used in packet-switched domains to identify a user equipment (UE) in a routing area, often associated with GUTI and RAI for mobility management.<SEP>P-TMSI (Packet-TMSI) is a temporary identity assigned by the SGSN to a UE in GERAN/UTRAN for packet data session management, used to identify the UE in the packet-switched domain.",chunk-bb1f2d13170d67528fd65ac8992c8cd5<SEP>chunk-42eec776d41ac963851cb7973db6a6a8,../3GPP-trunked/Rel-19/23_series/23003-j20.md2.8.2.1<SEP>../3GPP-trunked/Rel-19/23_series/23003-j20.md2.8.2.1.2
mobility,Temporary and Area Identities,Concept,Temporary and Area Identities refer to identifiers used in the EUTRAN and UTRAN/GERAN networks for managing user equipment location and mobility. The mapping between these identities is defined in section 2.8.2.,chunk-f35ed1455458c1a522f006f2cbfb7b88,../3GPP-trunked/Rel-19/23_series/23003-j20.md2.8.2
mobility,Routeing Area Update Request,Concept,"Routeing Area Update Request is a message constructed using temporary and location area identities in GERAN/UTRAN, specifically for updating the routing area of a user equipment (UE) during mobility.",chunk-4ef3d696ebab5bac272bd66fe00f88e6,../3GPP-trunked/Rel-19/23_series/23003-j20.md2.8.2.0
mobility,Tracking Area Update Request,Concept,"Tracking Area Update Request is a message constructed using temporary and location area identities in E-UTRAN, specifically for updating the tracking area of a user equipment (UE) during mobility.",chunk-4ef3d696ebab5bac272bd66fe00f88e6,../3GPP-trunked/Rel-19/23_series/23003-j20.md2.8.2.0
mobility,Mapping from 5G-GUT,Concept,Mapping from 5G-GUT is a procedure defined in section 2.10.2.1 that describes the process of converting a 5G-GUT (5G Global Unique Temporary Identifier) into an M-TMSI (Mobile Termination Temporary Subscriber Identity). This mapping is used in the 5G core network for identity management and mobility handling.,chunk-f55a809468a08a3c11744680c7e157f6,../3GPP-trunked/Rel-19/23_series/23003-j20.md2.10.2.1
mobility,Intermediate UE-to-Network Relay,Technology,"Intermediate UE-to-Network Relay is a relay node that serves one or more 5G ProSe Remote UEs and can act as an intermediary in multi-hop UE-to-Network Relay scenarios. It supports mobility by establishing Layer-2 links with Remote UEs and updating the 5G ProSe UE-to-Network Relay via the Layer-2 Link Modification procedure when a new Remote UE joins the link.<SEP>Intermediate UE-to-Network Relay is a relay node that forwards the Relay Discovery Additional Information message with Hop-Count=2 and may include additional information such as Hop-Count, Announcer Info, and NCGI. It can detect changes in additional parameters and send updated messages to the 5G ProSe UE-to-Network Relay.",chunk-c0ee4ed72d47407747e3897ac4211fb7<SEP>chunk-44009f13128135cdc03b8e48ee07342b,../3GPP-trunked/Rel-19/23_series/23700-03-j00.md6.1.2.5<SEP>../3GPP-trunked/Rel-19/23_series/23700-03-j00.md6.1.2.8
mobility,new MME,Technology,new MME is the Mobility Management Entity that takes over the UE's session after handover and performs reverse mapping of the GUTI to retrieve RAI and P-TMSI for identity,chunk-19a2bfb0a85e853cc610d34a066595ae,../3GPP-trunked/Rel-19/23_series/23003-j20.md2.8.2.2.3
mobility,GERAN/UTRAN,Technology,"GERAN/UTRAN is a radio access technology used in 2G and 3G networks, comprising GSM EDGE Radio Access Network and UMTS Terrestrial Radio Access Network, respectively. It is referenced in the context of mobility transitions and identifier mapping to E-UTRAN.",chunk-377c1c90ed5a5d0b4e24ce7ea16b997b,../3GPP-trunked/Rel-19/23_series/23003-j20.md2.8.2.2.2
mobility,2.10.2.1.1,UNKNOWN,The I to GUTI procedure involves the UE during mobility in a 5G network<SEP>The I to GUTI procedure occurs within the context of a 5G network during UE mobility,chunk-d36312532a7a5be976d40e50413cdd5d,../3GPP-trunked/Rel-19/23_series/23003-j20.md2.10.2.1.1
mobility,mobility procedure,Concept,"Mobility procedure is a process defined in clause 6.1.2.5 that may be triggered during relay re-selection when a new relay with a smaller Hop-Count is found, potentially resulting in the movement of all Remote UEs connected via an Intermediate UE-to-Network Relay.",chunk-7e84ca163fa327373199ee49dbd2a50c,../3GPP-trunked/Rel-19/23_series/23700-03-j00.md6.1.2.3
mobility,Control plane CIoT 5GS optimization,Concept,"Control plane CIoT 5GS optimization is a signaling optimization technique that enables efficient transport of user data (IP, Ethernet, Unstructured, or SMS) over the control plane via the Access and Mobility Management Function (AMF), including optional header compression for IP and Ethernet data.",chunk-7f19af8fba98546b9e8c4bfa65440b68,../3GPP-trunked/Rel-19/24_series/24501-j20.md3.1
