fault_query,matched_terms,entity_id,entity_type,description,related_entity,related_description,edge_description,edge_keywords,conditions,source_id,file_path
Antenna Failure,antenna; antenna system,conducted test methods,Concept,"Conducted test methods are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These methods are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25.105 [3], TS 36.104 [4], TS 38.104 [36], or TS 37.104 [5].",,,,,,chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1
Antenna Failure,antenna; antenna system,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,TS 38.104 [2],Reference,,chunk-0f595be48d3acba9ba5bfcb151e53c27,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md1
Antenna Failure,antenna; antenna system,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,TS 38.104 [2],Reference,,chunk-2d761ca3641320f2bddfad5e4ee553f0,../3GPP-trunked/Rel-19/38_series/38141-2-j00.mdNone
Antenna Failure,antenna; antenna system,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,TS 38.331 subclause 5.8.8,Reference,,chunk-b4aca0be3f1decaa5557eefcea27c82d,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s12-s14.md12.1.1.1.2
Antenna Failure,antenna; antenna system,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",release,,Conformance requirements vary between different releases of core specifications,differ,"[""core specifications""]",chunk-2c45e697ca88b93c4791cc40ea551b08,../3GPP-trunked/Rel-19/38_series/38523-1-j00_cover.md4.4
Antenna Failure,antenna; antenna system,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",Handling of differences,Handling of differences refers to the process or method used to manage discrepancies in conformance requirements across different releases of core specifications.,Handling of differences manages discrepancies in conformance requirements across different releases,manage,"[""core specifications""]",chunk-2c45e697ca88b93c4791cc40ea551b08,../3GPP-trunked/Rel-19/38_series/38523-1-j00_cover.md4.4
Antenna Failure,antenna; antenna system,conformance requirements,Concept,"Conformance requirements are specified in the present document for single RAT E-UTRA operation, single RAT UTRA operation (FDD and TDD), and Multi-Standard Radio (MSR) UTRA, E-UTRA, and NR Active Antenna System (AAS) Base Station (BS). These requirements are derived from and consistent with non-AAS BS specifications in TS 25.104 [2], TS 25",core specifications,"Core specifications are foundational documents that define the technical standards and requirements for a system, particularly in telecommunications. They evolve across releases, leading to variations in conformance requirements.<SEP>Handling of differences applies to differences between releases of core specifications",Conformance requirements vary between different releases of core specifications,Condition,,chunk-2c45e697ca88b93c4791cc40ea551b08,../3GPP-trunked/Rel-19/38_series/38523-1-j00_cover.md4.4
Antenna Failure,antenna; antenna system,Active Antenna System (AAS) Base Station (BS),Technology,Active,,,,,,chunk-f4c80e2384bb02b606e694ec4411c18a,../3GPP-trunked/Rel-19/37_series/37145-1-j00.md1
Antenna Failure,antenna,receiver RF requirements,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",DEF,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",Definition,"[""ATG UE""]",chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1
Antenna Failure,antenna,receiver RF requirements,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector",ATG UE,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector","For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector",Condition,,chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1
Antenna Failure,antenna,ATG UE,UNKNOWN,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector",receiver RF requirements,"For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector<SEP>For ATG UE with antenna array indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each TAB connector","For ATG UE with multiple omni-directional antennas not indicating the capability antennaArrayType-r18, the receiver RF requirements are defined on top of each antenna connector",Condition,,chunk-6f1a1c17b7f122ee79898d1320c94163,../3GPP-trunked/Rel-19/38_series/38101-1-j10_s07-XX.md7.1
Antenna Failure,antenna,CFO correction,Concept,"CFO correction is a process performed on a slot-by-slot basis to adjust for carrier frequency offset, using a common frequency correction applied to both antenna outputs.",,,,,,chunk-263a496daaae4e282d13c61a7f83f4ab,../3GPP-trunked/Rel-19/38_series/38101-1-j10_sAnnexes.md3
Antenna Failure,antenna,antenna outputs,Terminology,,,,,,,chunk-263a496daaae4e282d13c61a7f83f4ab,../3GPP-trunked/Rel-19/38_series/38101-1-j10_sAnnexes.md3
Antenna Failure,antenna,co-location reference antenna,Concept,co-location reference antenna is a passive antenna used as a reference for co-location requirements.,REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,clause 4.9,Reference,,chunk-c23b16204db96443579bd5a44c7c7c5a,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.3.3
Antenna Failure,antenna,minimum mechanical down tilt,Concept,Minimum mechanical down tilt is the smallest angle at which the antenna,,,,,,chunk-70947939508fa52275c478817bc5ed32,../3GPP-trunked/Rel-19/38_series/38141-2-j00.md4.6
Antenna Failure,antenna,maximum electrical steering range,Concept,Maximum electrical steering range is the largest angular range over which the beam direction of a Base Station antenna can be electronically adjusted without mechanical movement.,,,,,,chunk-70947939508fa52275c478817bc5ed32,../3GPP-trunked/Rel-19/38_series/38141-2-j00.md4.6
Antenna Failure,antenna,increased mechanical down tilt,Concept,"Increased mechanical down tilt is the adjusted mechanical tilt angle of a Base Station antenna that is declared when the maximum electrical steering range is used, to compensate for the lack of simultaneous support with minimum mechanical down tilt.",,,,,,chunk-70947939508fa52275c478817bc5ed32,../3GPP-trunked/Rel-19/38_series/38141-2-j00.md4.6
Antenna Failure,antenna,mechanical tilt for EEIRP,Concept,"Mechanical tilt for EEIRP (Effective Isotropic Radiated Power) refers to the physical adjustment of an antenna's angle to control signal coverage, declared together with D",,,,,,chunk-e19fe0c49e812b45cf4c341ad8b001de,../3GPP-trunked/Rel-19/38_series/38141-2-j00.md4.6
Antenna Failure,antenna,Conducted Requirements,Concept,"Conducted Requirements are defined at individual or groups of TAB connectors at the transceiver array boundary, representing the conducted interface between the transceiver unit array and the composite antenna.",,,,,,chunk-5ef4fabfa4bd228d78e7b96b457b010a,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.2.1
Antenna Failure,antenna,Composite Antenna,Technology,"Composite Antenna contains a radio distribution network (RDN) and an antenna array. The RDN is a linear passive network that distributes RF power from the transceiver unit array to the antenna array, or distributes received signals from the antenna array to the transceiver unit array in an implementation-specific manner.",,,,,,chunk-5ef4fabfa4bd228d78e7b96b457b010a,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.2.1
Antenna Failure,antenna,Radio Distribution Network,Technology,"Radio Distribution Network (RDN) is a linear passive network within the composite antenna that facilitates the distribution of RF power from the transceiver unit array to the antenna array, or the reverse for received signals, in an implementation-specific way.",,,,,,chunk-5ef4fabfa4bd228d78e7b96b457b010a,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.2.1
Antenna Failure,antenna,Antenna Array,Technology,"Antenna Array is a component of the composite antenna that receives or transmits radio signals, working in conjunction with the radio distribution network to enable",,,,,,chunk-5ef4fabfa4bd228d78e7b96b457b010a,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.2.1
Antenna Failure,antenna,PUSCH,Technology,"PUSCH is a physical uplink shared channel used for transmitting data from the UE to the base station, evaluated under single antenna port and fading channel conditions with a maximum test system uncertainty of ±0.6 dB.",,,,,,chunk-cc3d0292af6d2d0c5c6d1c2a8b40c763,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.1.2.4
Antenna Failure,antenna,PUCCH,Technology,"PUCCH is a physical uplink control channel used for transmitting control information from the UE to the base station, evaluated under single antenna port and fading channel conditions with a maximum test system uncertainty of ±0.6 dB.",,,,,,chunk-cc3d0292af6d2d0c5c6d1c2a8b40c763,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.1.2.4
Antenna Failure,antenna,PRACH,Technology,"PRACH is a physical random access channel used for initial access by the UE, evaluated under single antenna port and AWGN conditions",,,,,,chunk-cc3d0292af6d2d0c5c6d1c2a8b40c763,../3GPP-trunked/Rel-19/38_series/38176-1-j00.md4.1.2.4
Antenna Failure,antenna,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",DEF,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","Transmitter characteristics are specified at the BS antenna connector (test port A) with a full complement of transceivers under normal operating conditions. If external apparatus such as a TX amplifier, a filter, or their combination is used, requirements apply at the far end antenna connector (test port B).",Definition,"[""normal operating conditions"", ""external apparatus""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1
Antenna Failure,antenna,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,clause 6,Reference,,chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1
Antenna Failure,antenna,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",external apparatus,,Transmitter characteristics requirements apply at test port B when external apparatus such as TX amplifier or filter is used,Condition,,chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1
Antenna Failure,antenna,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",normal operating conditions,,Transmitter characteristics are specified at test port A under normal operating conditions with full complement of transceivers,Condition,,chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1
Antenna Failure,antenna,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",test port A,,Transmitter characteristics are specified at test port A under normal operating conditions with full complement of transceivers,specify_at,"[""normal operating conditions""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1
Antenna Failure,antenna,transmitter characteristics,Concept,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",test port B,test port B is the far end antenna connector where transmitter requirements apply when external apparatus such as a TX amplifier or filter is used.<SEP>test port B is the far end antenna connector where receiver requirements apply when external apparatus such as a RX amplifier or filter is used.,Transmitter characteristics requirements apply at test port B when external apparatus such as TX amplifier or filter is used,apply_at,"[""external apparatus""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1
Antenna Failure,antenna,frequency range 1,Concept,Frequency range 1 refers to a band configuration where transmitter characteristics are specified at the antenna connector(s) of the UE. Requirements for this range can be verified with NR FR2 link disabled.,,,,,,chunk-dc6a5817c109359837894569af788149,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.1
Antenna Failure,antenna,inter-band EN-DC,Concept,"inter-band EN-DC is a configuration where E-UTRA and NR operate in different frequency bands with different carrier frequencies. It supports uplink switching mechanisms specified in sub-clause 6.1.6 of TS 38.214 [14], and requires the UE to support switching between single layer transmission with one antenna port and two-layer transmission with two antenna ports on the uplink carriers.<SEP>inter-band EN-DC refers to a dual connectivity scenario where E-UTRA and NR operate on different frequency bands, requiring specific switching time and power dynamics handling for UL transmission.",,,,,,chunk-1bdb8aa440d9714d6103fd491f2c688a<SEP>chunk-fff659fd8dc6be689ab95f6905d623b2,../3GPP-trunked/Rel-19/38_series/38101-3-j10_s06-XX.md6.3
Antenna Failure,antenna,est Procedures for Antennas,Document,est Procedures for Antennas is a document published by IEEE that contains procedures related to antennas.,REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,3 Definitions)##,Reference,,chunk-f8608122158cb2e6e740f18a9a56219b,../3GPP-trunked/Rel-19/38_series/38101-5-j00.mdNone
Antenna Failure,antenna,Co-polarized transmission,Concept,Co-polarized transmission occurs when the DUT transmission antenna polarization is aligned with the test antenna polarization.,,,,,,chunk-60b5c2f4b106c89b2625a3583718ea42,../3GPP-trunked/Rel-19/38_series/38101-5-j00.mdNone
Antenna Failure,antenna,Cross-polarized transmission,Concept,Cross-polarized transmission occurs when the DUT transmission antenna polarization is oriented such that an incident wave from the DUT results in the lowest available power at the test antenna.,,,,,,chunk-60b5c2f4b106c89b2625a3583718ea42,../3GPP-trunked/Rel-19/38_series/38101-5-j00.mdNone
Antenna Failure,antenna,antenna connector,Terminology,antenna connector is the connector at the conducted interface of the BS type 1-C.,,,,,,chunk-84a02a30e5cffd18d68ef7e86e185efd,../3GPP-trunked/Rel-19/38_series/38104-j00.md3.1
Antenna Failure,antenna,BS type 1-C,Technology,"BS type 1-C is a base station configuration where requirements are applied at the BS antenna connector (port A) for a single transmitter or receiver, or at the full complement of transceivers under normal operating conditions. If external apparatus such as amplifiers, filters, or their combination are used, the requirements apply at the far end antenna connector (port B).<SEP>BS type 1-C is a base station type in Japan whose emission limits may apply to the sum of emission power over all antenna connectors for Band n41 and Band n90 operations.",DEF,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","For BS type 1-C, the requirements are applied at the BS antenna connector (port A) for a single transmitter or receiver with a full complement of transceivers for the configuration in normal operating conditions. If any external apparatus such as an amplifier, a filter or the combination of such devices is used, requirements apply at the far end antenna connector (port B).",Definition,"[""normal operating conditions""]",chunk-6a9155c687b93ecbea681139292bc065,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.3.1
Antenna Failure,antenna,BS type 1-C,Technology,"BS type 1-C is a base station configuration where requirements are applied at the BS antenna connector (port A) for a single transmitter or receiver, or at the full complement of transceivers under normal operating conditions. If external apparatus such as amplifiers, filters, or their combination are used, the requirements apply at the far end antenna connector (port B).<SEP>BS type 1-C is a base station type in Japan whose emission limits may apply to the sum of emission power over all antenna connectors for Band n41 and Band n90 operations.",normal operating conditions,,"For BS type 1-C, the requirements are applied at the BS antenna connector (port A) for a single transmitter or receiver with a full complement of transceivers for the configuration in normal operating conditions. If any external apparatus such as an amplifier, a filter or the combination of such devices is used, requirements apply at the far end antenna connector (port B).",Condition,,chunk-6a9155c687b93ecbea681139292bc065,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.3.1
Antenna Failure,antenna,BS type 1-C,Technology,"BS type 1-C is a base station configuration where requirements are applied at the BS antenna connector (port A) for a single transmitter or receiver, or at the full complement of transceivers under normal operating conditions. If external apparatus such as amplifiers, filters, or their combination are used, the requirements apply at the far end antenna connector (port B).<SEP>BS type 1-C is a base station type in Japan whose emission limits may apply to the sum of emission power over all antenna connectors for Band n41 and Band n90 operations.",HAPS BS class,"HAPS BS class is defined for BS type 1-C and 1-H and refers to Wide Area BS class unless otherwise stated, which is specified in clause 4.3.","HAPS BS class is defined as the Wide Area BS class specified in clause 4.3, unless otherwise stated",Condition,,chunk-3f16efe1f3d8b0a92021d26db5074eef,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.3
Antenna Failure,antenna,composite antenna,Technology,"The composite antenna consists of a radio distribution network (RDN) and an antenna array. The RDN is a linear passive network that distributes RF power from the transceiver unit array to the antenna array, or distributes received radio signals from the antenna array to the transceiver unit array, in an implementation-specific manner.",,,,,,chunk-20d9959e3fd97c66f412c120803eb5de,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.3.2
Antenna Failure,antenna,OTA base station output power,Technology,"OTA base station output power refers to the radiated output power measured at the antenna port, subject to regional limits in specific bands and regions.)##
(entity",,,,,,chunk-fdfc2082b8d5d3c4e5aedf928b08cea4,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.5
Antenna Failure,antenna,Band n41,Technology,"Band n41 is a specific frequency band used for NR operation, subject to additional regulatory requirements in Japan, including absolute ACLR limits and operating band unwanted emissions limits.<SEP>Band n41 is a frequency band used for wireless communication in Japan, where the emission limits for BS type 1-C may apply to the sum of emission power over all antenna connectors.",,,,,,chunk-07f807123a347fd4aff6989a554b6bed<SEP>chunk-fdfc2082b8d5d3c4e5aedf928b08cea4,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.5
Antenna Failure,antenna,Band n90,Technology,"Band n90 is a specific frequency band used for NR operation, subject to additional regulatory requirements in Japan, including output power limits, absolute ACLR limits, and operating band unwanted emissions limits.<SEP>Band n90 is a frequency band used for wireless communication in Japan, where the emission limits for BS type 1-C may apply to the sum of emission power over all antenna connectors.",,,,,,chunk-07f807123a347fd4aff6989a554b6bed<SEP>chunk-fdfc2082b8d5d3c4e5aedf928b08cea4,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.5
Antenna Failure,antenna; antenna system,RIB,Technology,A RIB (Radio Interface Board) is a component in BS type 1-O that interfaces with the antenna system and supports either single-band or multi-band operation.,Repeate,"Repeate is a procedure defined in section 4.3 of the document, intended to be applied for the purpose of repeating a specific operation or process. It is associated with the RIB (Resource Information Base) and may involve data or signal retransmission.",The Repeate procedure utilizes the RIB for managing or accessing resource information during its execution.)##,use,,chunk-821d2854d61354c62eac2fe7a968089f,../3GPP-trunked/Rel-19/38_series/38106-j00.md4.3
Antenna Failure,antenna; antenna system,RIB,Technology,A RIB (Radio Interface Board) is a component in BS type 1-O that interfaces with the antenna system and supports either single-band or multi-band operation.,Transmit configurations,"Transmit configurations refer to the setup and specifications for signal transmission in Type 1-H, defined in section 4.5.2.1, and are evaluated at the transceiver array boundary at the TAB connector(s) under normal operating conditions.",Transmit,measure at,,chunk-a87d279fcdef096f9a683fd2dc284e99,../3GPP-trunked/Rel-19/38_series/38141-2-j00.md4.5.1
Antenna Failure,antenna,OTA co-location requirements,Concept,"OTA co-location requirements are technical specifications that ensure minimal interference between two co-located base station systems, specifically BS type 1-O and a co-location reference antenna. These requirements are based on the power at the conducted interface of the reference antenna and apply to both uplink and downlink signals.",,,,,,chunk-118e8bed3ea96ac25a73791846ebea74,../3GPP-trunked/Rel-19/38_series/38104-j00.md4.9
Antenna Failure,antenna,Antenna connector,Terminology,,,,,,,chunk-0bf7c3dc753522e6404059939cd15d0c,../3GPP-trunked/Rel-19/38_series/38106-j00.mdNone
Antenna Failure,antenna,Maximum passband output power,Concept,Maximum passband output power is the mean power level measured per passband at the antenna connector during the transmitter ON state under a specified reference condition.,,,,,,chunk-0bf7c3dc753522e6404059939cd15d0c,../3GPP-trunked/Rel-19/38_series/38106-j00.mdNone
Antenna Failure,antenna,RF repeater type 1-C,Technology,"RF repeater type 1-C is a repeater operating at FR1 with a requirement set consisting only of conducted requirements defined at individual antenna connectors.<SEP>RF repeater type 1-C is a specific type of repeater used in downlink configurations, associated with the definition of downlink repeater classes including Wide Area, Medium Range, and Local Area repeaters.<SEP>RF repeater type 1-C is a specific type of repeater used in uplink and downlink configurations, and it is associated with uplink and downlink repeater classes as defined in the specification.",DEF,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.",RF repeater type 1-C has conducted requirements only and requires compliance to the present document for conformance.,Definition,"[""TS 38.106""]",chunk-71896e9730b13273dbd75e5ac0504db0,../3GPP-trunked/Rel-19/38_series/38115-1-j00.mdNone
Antenna Failure,antenna,RF repeater type 1-C,Technology,"RF repeater type 1-C is a repeater operating at FR1 with a requirement set consisting only of conducted requirements defined at individual antenna connectors.<SEP>RF repeater type 1-C is a specific type of repeater used in downlink configurations, associated with the definition of downlink repeater classes including Wide Area, Medium Range, and Local Area repeaters.<SEP>RF repeater type 1-C is a specific type of repeater used in uplink and downlink configurations, and it is associated with uplink and downlink repeater classes as defined in the specification.",TS 38.106,RF repeater type 1-C has conducted requirements only and requires compliance to the present document for conformance.,RF repeater type 1-C has conducted requirements only and requires compliance to the present document for conformance.,Condition,,chunk-71896e9730b13273dbd75e5ac0504db0,../3GPP-trunked/Rel-19/38_series/38115-1-j00.mdNone
Antenna Failure,antenna,Single-band connector,Concept,"Single-band connector is a repeater type 1-C antenna connector that supports operation in a single operating band only,",,,,,,chunk-b8966f841bc5837b85972e0186e32b85,../3GPP-trunked/Rel-19/38_series/38106-j00.mdNone
